 INPUT STRING:	مصـــــــر
        INDEX:	P41W5
      OFFSETS:	20-21
       TOKENS:	P41W6-P41W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[:]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P42W1
      OFFSETS:	0-2
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from/for

 INPUT STRING:	أجل
     IS_TRANS:	>jl
        INDEX:	P42W2
      OFFSETS:	3-6
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajal_1]
   UNSPLITVOC:	(>ajal)
          POS:	NOUN
          VOC:	>ajal
        GLOSS:	for sake of/because of

 INPUT STRING:	الحرية
     IS_TRANS:	AlHryp
        INDEX:	P42W3
      OFFSETS:	7-13
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(AlHur~iy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hur~iy~+ap
        GLOSS:	the+freedom+[fem.sg.]

 INPUT STRING:	والكرامه
     IS_TRANS:	wAlkrAmh
        INDEX:	P42W4
      OFFSETS:	14-22
       TOKENS:	P42W4-P42W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karAmap_1]
   UNSPLITVOC:	(wiAlkarAmap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+karAm+ap
        GLOSS:	and+the+dignity/generosity+[fem.sg.]

 INPUT STRING:	والعز
     IS_TRANS:	wAlEz
        INDEX:	P42W5
      OFFSETS:	23-28
       TOKENS:	P42W6-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiz~_1]
   UNSPLITVOC:	(wiAlEiz~)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+Eiz~
        GLOSS:	and+the+luxury

 INPUT STRING:	والرفعه
     IS_TRANS:	wAlrfEh
        INDEX:	P42W6
      OFFSETS:	29-36
       TOKENS:	P42W8-P42W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rifoEap_1]
   UNSPLITVOC:	(wiAlrifoEap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+rifoE+ap
        GLOSS:	and+the+height/elevation/high rank+[fem.sg.]

 INPUT STRING:	سطرت
     IS_TRANS:	sTrt
        INDEX:	P42W7
      OFFSETS:	37-41
       TOKENS:	P42W10-P42W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saT~ar_1]
   UNSPLITVOC:	(saT~arit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	saT~ar+it
        GLOSS:	outline/draw up/jot down+it/they/she [verb]

 INPUT STRING:	تاريخ
     IS_TRANS:	tAryx
        INDEX:	P42W8
      OFFSETS:	42-47
       TOKENS:	P42W11-P42W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(tAriyx)
          POS:	NOUN
          VOC:	tAriyx
        GLOSS:	date/history

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P42W9
      OFFSETS:	48-52
       TOKENS:	P42W12-P42W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiyd)
          POS:	ADJ
          VOC:	jidiyd
        GLOSS:	new/modern

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P42W10
      OFFSETS:	53-56
       TOKENS:	P42W13-P42W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	عرش
     IS_TRANS:	Er$
        INDEX:	P42W11
      OFFSETS:	57-60
       TOKENS:	P42W14-P42W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earo$_1]
   UNSPLITVOC:	(Earo$)
          POS:	NOUN
          VOC:	Earo$
        GLOSS:	throne/thrones

 INPUT STRING:	التاريخ
     IS_TRANS:	AltAryx
        INDEX:	P42W12
      OFFSETS:	61-68
       TOKENS:	P42W15-P42W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(Alt~Ariyx)
          POS:	DET+NOUN
          VOC:	Al+tAriyx
        GLOSS:	the+history

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P42W13
      OFFSETS:	69-72
       TOKENS:	P42W16-P42W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	مدادة
     IS_TRANS:	mdAdp
        INDEX:	P42W14
      OFFSETS:	73-78
       TOKENS:	P42W17-P42W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[midAd_1]
   UNSPLITVOC:	(midAduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	midAd+uh
        GLOSS:	ink/style+its/his

 INPUT STRING:	دم
     IS_TRANS:	dm
        INDEX:	P42W15
      OFFSETS:	79-81
       TOKENS:	P42W19-P42W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(dam~)
          POS:	NOUN
          VOC:	dam~
        GLOSS:	blood

 INPUT STRING:	أبنائي
     IS_TRANS:	>bnA}y
        INDEX:	P42W16
      OFFSETS:	82-88
       TOKENS:	P42W20-P42W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ibon_1]
   UNSPLITVOC:	(>abonA}iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>abonA}+iy
        GLOSS:	sons/children+my

 INPUT STRING:	وأنتم
     IS_TRANS:	w>ntm
        INDEX:	P42W17
      OFFSETS:	89-94
       TOKENS:	P42W22-P42W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inotum_1]
   UNSPLITVOC:	(wi<inotum)
          POS:	CONJ+PRON_2P
          VOC:	wi+<inotum
        GLOSS:	and+you [pl.]

 INPUT STRING:	كذلك
     IS_TRANS:	k*lk
        INDEX:	P42W18
      OFFSETS:	95-99
       TOKENS:	P42W24-P42W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(ka*alik)
          POS:	PREP+DEM_PRON_MS
          VOC:	ka+*alik
        GLOSS:	like/such as+that

 INPUT STRING:	ازيلوا
     IS_TRANS:	AzylwA
        INDEX:	P42W19
      OFFSETS:	100-106
       TOKENS:	P42W26-P42W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AzAl_1]
   UNSPLITVOC:	(AzyluwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Azyl+uwA
        GLOSS:	remove/eliminate+you[pl.][verb.]

 INPUT STRING:	الغطاء
     IS_TRANS:	AlgTA'
        INDEX:	P42W20
      OFFSETS:	107-113
       TOKENS:	P42W27-P42W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giTA'_1]
   UNSPLITVOC:	(AlgiTA')
          POS:	DET+NOUN
          VOC:	Al+giTA'
        GLOSS:	the+cover/blanket

 INPUT STRING:	وانهضوا
     IS_TRANS:	wAnhDwA
        INDEX:	P42W21
      OFFSETS:	114-121
       TOKENS:	P42W28-P42W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nahaD_1]
   UNSPLITVOC:	(wiAnhaDuwA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	wi+AnhaD+uwA
        GLOSS:	and+rise/awaken/rebel+you[pl.][verb.]

 INPUT STRING:	فالحرية
     IS_TRANS:	fAlHryp
        INDEX:	P42W22
      OFFSETS:	122-129
       TOKENS:	P42W30-P42W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Huriy~ap_1]
   UNSPLITVOC:	(faAlHuriy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	fa+Al+Huriy~+ap
        GLOSS:	so/and/therefore+the+freedom+[fem.sg.]

 INPUT STRING:	أمر
     IS_TRANS:	>mr
        INDEX:	P42W23
      OFFSETS:	130-133
       TOKENS:	P42W32-P42W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>amor)
          POS:	NOUN
          VOC:	>amor
        GLOSS:	matter/issue

 INPUT STRING:	يستحق
     IS_TRANS:	ystHq
        INDEX:	P42W24
      OFFSETS:	134-139
       TOKENS:	P42W33-P42W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isotaHaq~_1]
   UNSPLITVOC:	(yisotaHiq~)
          POS:	IV3MS+IV
          VOC:	yi+sotaHiq~
        GLOSS:	he/it+deserve/merit

 INPUT STRING:	وأنتم
     IS_TRANS:	w>ntm
        INDEX:	P42W25
      OFFSETS:	140-145
       TOKENS:	P42W34-P42W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inotum_1]
   UNSPLITVOC:	(wi<inotum)
          POS:	CONJ+PRON_2P
          VOC:	wi+<inotum
        GLOSS:	and+you [pl.]

 INPUT STRING:	أهل
     IS_TRANS:	>hl
        INDEX:	P42W26
      OFFSETS:	146-149
       TOKENS:	P42W36-P42W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	qualified

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P42W27
      OFFSETS:	150-153
       TOKENS:	P42W37-P42W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+it/them/her (it/she has, they have)

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W28
      OFFSETS:	154-155
       TOKENS:	P42W39-P42W39
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	موضوعك
     IS_TRANS:	mwDwEk
        INDEX:	P43W1
      OFFSETS:	0-6
       TOKENS:	P43W1-P43W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwEik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	mawDuwE+ik
        GLOSS:	subject/theme/issue+your[fem.sg.]

 INPUT STRING:	رائع
     IS_TRANS:	rA}E
        INDEX:	P43W2
      OFFSETS:	7-11
       TOKENS:	P43W3-P43W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rA}iE_1]
   UNSPLITVOC:	(rA}iE)
          POS:	ADJ
          VOC:	rA}iE
        GLOSS:	splendid/marvelous/magnificent

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P43W3
      OFFSETS:	12-14
       TOKENS:	P43W4-P43W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	عتاب
     IS_TRANS:	EtAb
        INDEX:	P43W4
      OFFSETS:	15-19
       TOKENS:	P43W5-P43W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EitAb_1]
   UNSPLITVOC:	(EitAb)
          POS:	NOUN_PROP
          VOC:	EitAb
        GLOSS:	EitAb

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P44W1
      OFFSETS:	0-3
       TOKENS:	P44W1-P44W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P44W2
      OFFSETS:	4-9
       TOKENS:	P44W2-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+t+quwl
        GLOSS:	[present-tense]+it/she+said/say/be said/say/(for example)

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W3
      OFFSETS:	10-11
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W4
      OFFSETS:	11-12
       TOKENS:	P44W5-P44W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W5
      OFFSETS:	12-13
       TOKENS:	P44W6-P44W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W6
      OFFSETS:	13-14
       TOKENS:	P44W7-P44W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P44W7
      OFFSETS:	14-18
       TOKENS:	P44W8-P44W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/god+our

 INPUT STRING:	يستر
     IS_TRANS:	ystr
        INDEX:	P44W8
      OFFSETS:	19-23
       TOKENS:	P44W10-P44W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yusotur)
          POS:	IV3MS+IV
          VOC:	yu+sotur
        GLOSS:	he/it+cover/hide

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P44W9
      OFFSETS:	24-26
       TOKENS:	P44W11-P44W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P44W10
      OFFSETS:	27-31
       TOKENS:	P44W12-P44W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيحصل
     IS_TRANS:	byHSl
        INDEX:	P44W11
      OFFSETS:	32-37
       TOKENS:	P44W13-P44W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(biyiHoSal)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+HoSal
        GLOSS:	[present-tense]+he/it+occur/happen/take place

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W12
      OFFSETS:	38-39
       TOKENS:	P44W15-P44W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W13
      OFFSETS:	39-40
       TOKENS:	P44W16-P44W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W14
      OFFSETS:	40-41
       TOKENS:	P44W17-P44W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W15
      OFFSETS:	41-42
       TOKENS:	P44W18-P44W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	شكل
     IS_TRANS:	$kl
        INDEX:	P44W16
      OFFSETS:	42-45
       TOKENS:	P44W19-P44W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akol)
          POS:	NOUN
          VOC:	$akol
        GLOSS:	manner/form/configuration

 INPUT STRING:	ريمة
     IS_TRANS:	rymp
        INDEX:	P44W17
      OFFSETS:	46-50
       TOKENS:	P44W20-P44W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[riymap_1]
   UNSPLITVOC:	(riymap)
          POS:	NOUN_PROP
          VOC:	riymap
        GLOSS:	riymap

 INPUT STRING:	هترجع
     IS_TRANS:	htrjE
        INDEX:	P44W18
      OFFSETS:	51-56
       TOKENS:	P44W21-P44W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(HatirojaE)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+rojaE
        GLOSS:	will+it/they/she+return back/ send back/be sent back

 INPUT STRING:	لعادة
     IS_TRANS:	lEAdp
        INDEX:	P44W19
      OFFSETS:	57-62
       TOKENS:	P44W23-P44W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(liEAdap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+EAd+ap
        GLOSS:	for/to+habit/custom/practice+[fem.sg.]

 INPUT STRING:	اوحش
     IS_TRANS:	AwH$
        INDEX:	P44W20
      OFFSETS:	63-67
       TOKENS:	P44W25-P44W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awHa$_1]
   UNSPLITVOC:	(>awHa$)
          POS:	ADJ_COMP
          VOC:	>awHa$
        GLOSS:	worse than

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P44W21
      OFFSETS:	68-70
       TOKENS:	P44W26-P44W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	القديمة
     IS_TRANS:	Alqdymp
        INDEX:	P44W22
      OFFSETS:	71-78
       TOKENS:	P44W27-P44W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadiym_1]
   UNSPLITVOC:	(Alqadiymap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qadiym+ap
        GLOSS:	the+old/ancient/old/ancients+[fem.sg.]

 INPUT STRING:	استرها
     IS_TRANS:	AstrhA
        INDEX:	P45W1
      OFFSETS:	0-6
       TOKENS:	P45W1-P45W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(AusoturhA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3FS
          VOC:	Ausotur+(null)+hA
        GLOSS:	cover/hide+you+it/them/her

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P45W2
      OFFSETS:	7-11
       TOKENS:	P45W3-P45W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master/god

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P46W1
      OFFSETS:	0-3
       TOKENS:	P46W1-P46W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	عيزة
     IS_TRANS:	Eyzp
        INDEX:	P46W2
      OFFSETS:	4-8
       TOKENS:	P46W2-P46W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(Eayzap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	Eayz+ap
        GLOSS:	wanting+[fem.sg.]

 INPUT STRING:	مننا
     IS_TRANS:	mnnA
        INDEX:	P46W3
      OFFSETS:	9-13
       TOKENS:	P46W3-P46W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~inA)
          POS:	PREP+PRON_1P
          VOC:	min~+nA
        GLOSS:	from+our

 INPUT STRING:	نحط
     IS_TRANS:	nHT
        INDEX:	P46W4
      OFFSETS:	14-17
       TOKENS:	P46W5-P46W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(nuHuT~)
          POS:	IV1P+IV
          VOC:	nu+HuT~
        GLOSS:	we+put

 INPUT STRING:	ايدنا
     IS_TRANS:	AydnA
        INDEX:	P46W5
      OFFSETS:	18-23
       TOKENS:	P46W6-P46W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iydnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	<iyd+nA
        GLOSS:	hand+our

 INPUT STRING:	بايد
     IS_TRANS:	bAyd
        INDEX:	P46W6
      OFFSETS:	24-28
       TOKENS:	P46W8-P46W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(bi<iyd)
          POS:	PREP+NOUN
          VOC:	bi+<iyd
        GLOSS:	with/by+hand

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P46W7
      OFFSETS:	29-32
       TOKENS:	P46W10-P46W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	وننسى
     IS_TRANS:	wnnsY
        INDEX:	P46W8
      OFFSETS:	33-38
       TOKENS:	P46W11-P46W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(wininosaY)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+nosaY
        GLOSS:	and+we+forget

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P46W9
      OFFSETS:	39-41
       TOKENS:	P46W13-P46W13
