 INPUT STRING:	المصريين
        LEMMA:	[yad_1]
   UNSPLITVOC:	(Alyad)
          POS:	DET+NOUN
          VOC:	Al+yad
        GLOSS:	the+hand

 INPUT STRING:	الطولى
     IS_TRANS:	AlTwlY
        INDEX:	P19W13
      OFFSETS:	69-75
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aTowal_1]
   UNSPLITVOC:	(AlT~uwlaY)
          POS:	DET+ADJ
          VOC:	Al+TuwlaY
        GLOSS:	the+taller/tallest/longer/longest

 INPUT STRING:	وارجوك
     IS_TRANS:	wArjwk
        INDEX:	P20W1
      OFFSETS:	1-7
       TOKENS:	P20W1-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajA_1]
   UNSPLITVOC:	(wiAarojuwk)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:2MS
          VOC:	wi+Aa+rojuw+ak
        GLOSS:	and+I+beg+you

 INPUT STRING:	عدم
     IS_TRANS:	Edm
        INDEX:	P20W2
      OFFSETS:	8-11
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadam_1]
   UNSPLITVOC:	(Eadam)
          POS:	NOUN
          VOC:	Eadam
        GLOSS:	absence of/lack of/not/non-

 INPUT STRING:	التقليل
     IS_TRANS:	Altqlyl
        INDEX:	P20W3
      OFFSETS:	12-19
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoliyl_1]
   UNSPLITVOC:	(Alt~aqoliyl)
          POS:	DET+NOUN
          VOC:	Al+taqoliyl
        GLOSS:	the+decrease/diminution/reduction

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P20W4
      OFFSETS:	20-22
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دور
     IS_TRANS:	dwr
        INDEX:	P20W5
      OFFSETS:	23-26
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawr_1]
   UNSPLITVOC:	(dawr)
          POS:	NOUN
          VOC:	dawr
        GLOSS:	role/part/roles/parts

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P20W6
      OFFSETS:	27-30
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P21W1
      OFFSETS:	1-4
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as , but, however, yet, on the other hand

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P21W2
      OFFSETS:	5-7
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	جهة
     IS_TRANS:	jhp
        INDEX:	P21W3
      OFFSETS:	8-11
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jihap_1]
   UNSPLITVOC:	(jihap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jih+ap
        GLOSS:	side/part/direction/sectors/offices/institutions/officials/individuals+[fem.sg.]

 INPUT STRING:	الموقف
     IS_TRANS:	Almwqf
        INDEX:	P21W4
      OFFSETS:	12-18
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(Almawqif)
          POS:	DET+NOUN
          VOC:	Al+mawqif
        GLOSS:	the+position

 INPUT STRING:	الخاص
     IS_TRANS:	AlxAS
        INDEX:	P21W5
      OFFSETS:	19-24
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~_1]
   UNSPLITVOC:	(AlxAS~)
          POS:	DET+ADJ
          VOC:	Al+xAS~
        GLOSS:	the+special/specific

 INPUT STRING:	بالسياسة
     IS_TRANS:	bAlsyAsp
        INDEX:	P21W6
      OFFSETS:	25-33
       TOKENS:	P21W6-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(biAls~iyAsap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+siyAs+ap
        GLOSS:	with/by+the+politics+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P21W7
      OFFSETS:	34-41
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	لأزمة
     IS_TRANS:	l>zmp
        INDEX:	P21W8
      OFFSETS:	42-47
       TOKENS:	P21W9-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>azomap_1]
   UNSPLITVOC:	(li>azomap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+>azom+ap
        GLOSS:	for/to+crisis+[fem.sg.]

 INPUT STRING:	غزة
     IS_TRANS:	gzp
        INDEX:	P21W9
      OFFSETS:	48-51
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	Gaza+[fem.sg.]

 INPUT STRING:	فارجوك
     IS_TRANS:	fArjwk
        INDEX:	P21W10
      OFFSETS:	52-58
       TOKENS:	P21W12-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajA_1]
   UNSPLITVOC:	(faAarojuwk)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:2MS
          VOC:	fa+Aa+rojuw+ak
        GLOSS:	so/and+I+beg+you

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P21W11
      OFFSETS:	59-61
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	تعلم
     IS_TRANS:	tElm
        INDEX:	P21W12
      OFFSETS:	62-66
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ealam_1]
   UNSPLITVOC:	(taEolam)
          POS:	IV2MS+IV
          VOC:	ta+Eolam
        GLOSS:	you+know

 INPUT STRING:	اولا
     IS_TRANS:	AwlA
        INDEX:	P21W13
      OFFSETS:	67-71
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~alAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	>aw~al+AF
        GLOSS:	first of all/primarily/in the first place+[acc.indef.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P21W14
      OFFSETS:	72-74
       TOKENS:	P21W18-P21W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	السياسة
     IS_TRANS:	AlsyAsp
        INDEX:	P21W15
      OFFSETS:	75-82
       TOKENS:	P21W19-P21W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(Als~iyAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAs+ap
        GLOSS:	the+politics+[fem.sg.]

 INPUT STRING:	الخارجية
     IS_TRANS:	AlxArjyp
        INDEX:	P21W16
      OFFSETS:	83-91
       TOKENS:	P21W20-P21W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArijiy_1]
   UNSPLITVOC:	(AlxArijiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+xArijiy~+ap
        GLOSS:	the+foreign/outside/outer+[fem.sg.]

 INPUT STRING:	لمصر
     IS_TRANS:	lmSr
        INDEX:	P21W17
      OFFSETS:	92-96
       TOKENS:	P21W21-P21W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(limiSor)
          POS:	PREP+NOUN_PROP
          VOC:	li+miSor
        GLOSS:	for/to+Egypt

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P21W18
      OFFSETS:	97-100
       TOKENS:	P21W23-P21W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+it/them/her (it/she has, they have)

 INPUT STRING:	خمسة
     IS_TRANS:	xmsp
        INDEX:	P21W19
      OFFSETS:	101-105
       TOKENS:	P21W25-P21W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xamosap_1]
   UNSPLITVOC:	(xamosap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	xamos+ap
        GLOSS:	five+[fem.sg.]

 INPUT STRING:	اتجاهات
     IS_TRANS:	AtjAhAt
        INDEX:	P21W20
      OFFSETS:	106-113
       TOKENS:	P21W26-P21W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ijAh_1]
   UNSPLITVOC:	(Ait~ijAhAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Ait~ijAh+At
        GLOSS:	direction/course+[fem.pl.]

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P21W21
      OFFSETS:	114-115
       TOKENS:	P21W27-P21W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	سياسة
     IS_TRANS:	syAsp
        INDEX:	P21W22
      OFFSETS:	116-121
       TOKENS:	P21W28-P21W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(siyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAs+ap
        GLOSS:	politics+[fem.sg.]

 INPUT STRING:	دولية
     IS_TRANS:	dwlyp
        INDEX:	P21W23
      OFFSETS:	122-127
       TOKENS:	P21W29-P21W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawliy_1]
   UNSPLITVOC:	(dawliy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	dawliy~+ap
        GLOSS:	international+[fem.sg.]

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P22W1
      OFFSETS:	1-2
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	سياسة
     IS_TRANS:	syAsp
        INDEX:	P22W2
      OFFSETS:	3-8
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(siyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAs+ap
        GLOSS:	politics+[fem.sg.]

 INPUT STRING:	عربية
     IS_TRANS:	Erbyp
        INDEX:	P22W3
      OFFSETS:	9-14
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earabiy~_1]
   UNSPLITVOC:	(Earabiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Earabiy~+ap
        GLOSS:	Arab/Arabic+[fem.sg.]

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P23W1
      OFFSETS:	1-2
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	سياسة
     IS_TRANS:	syAsp
        INDEX:	P23W2
      OFFSETS:	3-8
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(siyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAs+ap
        GLOSS:	politics+[fem.sg.]

 INPUT STRING:	اقليمية
     IS_TRANS:	Aqlymyp
        INDEX:	P23W3
      OFFSETS:	9-16
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iqoliymiy_1]
   UNSPLITVOC:	(<iqoliymiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	<iqoliymiy~+ap
        GLOSS:	regional/territorial+[fem.sg.]

 INPUT STRING:	4
     IS_TRANS:	4
        INDEX:	P24W1
      OFFSETS:	1-2
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(4)
          POS:	NOUN_NUM
          VOC:	4
        GLOSS:	4

 INPUT STRING:	سياسة
     IS_TRANS:	syAsp
        INDEX:	P24W2
      OFFSETS:	3-8
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(siyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAs+ap
        GLOSS:	politics+[fem.sg.]

 INPUT STRING:	اسلامية
     IS_TRANS:	AslAmyp
        INDEX:	P24W3
      OFFSETS:	9-16
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	<isolAmiy~+ap
        GLOSS:	Islamic/Islamist/Muslim+[fem.sg.]

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P25W1
      OFFSETS:	1-2
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5)
          POS:	NOUN_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P25W2
      OFFSETS:	3-5
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	تأتي
     IS_TRANS:	t>ty
        INDEX:	P25W3
      OFFSETS:	6-10
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[a>taY_1]
   UNSPLITVOC:	(ta>tiy)
          POS:	IV3FS+IV
          VOC:	ta+>tiy
        GLOSS:	it/they/she+come

 INPUT STRING:	سياسة
     IS_TRANS:	syAsp
        INDEX:	P25W4
      OFFSETS:	11-16
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(siyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAs+ap
        GLOSS:	politics+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P25W5
      OFFSETS:	17-20
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	الداخلية
     IS_TRANS:	AldAxlyp
        INDEX:	P25W6
      OFFSETS:	21-29
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAxiliy~_1]
   UNSPLITVOC:	(AldAxiliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+dAxiliy~+ap
        GLOSS:	the+internal/domestic+[fem.sg.]

 INPUT STRING:	والمرتبطة
     IS_TRANS:	wAlmrtbTp
        INDEX:	P25W7
      OFFSETS:	30-39
       TOKENS:	P25W7-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murotabiT_1]
   UNSPLITVOC:	(wiAlmurotabiTap)
          POS:	CONJ+DET+ADJ.VN+NSUFF_FEM_SG
          VOC:	wi+Al+murotabiT+ap
        GLOSS:	and+the+connected/linked+[fem.sg.]

 INPUT STRING:	ارتباطا
     IS_TRANS:	ArtbATA
        INDEX:	P25W8
      OFFSETS:	40-47
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{irotibAT_1]
   UNSPLITVOC:	({irotibAT)
          POS:	NOUN
          VOC:	{irotibAT
        GLOSS:	connection/link/cohesion

 INPUT STRING:	مباشرا
     IS_TRANS:	mbA$rA
        INDEX:	P25W9
      OFFSETS:	48-54
       TOKENS:	P25W10-P25W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mubA$ir_1]
   UNSPLITVOC:	(mubA$ir)
          POS:	ADJ
          VOC:	mubA$ir
        GLOSS:	direct/immediate

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P25W10
      OFFSETS:	55-58
       TOKENS:	P25W11-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P25W11
      OFFSETS:	59-62
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(h*h)
          POS:	NO_FUNC
          VOC:	h*h
        GLOSS:	nogloss

 INPUT STRING:	السياسات
     IS_TRANS:	AlsyAsAt
        INDEX:	P25W12
      OFFSETS:	63-71
       TOKENS:	P25W14-P25W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_2]
   UNSPLITVOC:	(Als~iyAsAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+siyAs+At
        GLOSS:	the+policies+[fem.pl.]

 INPUT STRING:	ولكل
     IS_TRANS:	wlkl
        INDEX:	P26W1
      OFFSETS:	1-5
       TOKENS:	P26W1-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wilikul~)
          POS:	CONJ+PREP+NOUN_QUANT
          VOC:	wi+li+kul~
        GLOSS:	and+for/to+all, entire, every, whole

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P26W2
      OFFSETS:	6-10
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	دواعيها
     IS_TRANS:	dwAEyhA
        INDEX:	P26W3
      OFFSETS:	11-18
       TOKENS:	P26W5-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAEiy_1]
   UNSPLITVOC:	(dawAEiyhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	dawAEiy+hA
        GLOSS:	causes/reasons/motives/requirements+its/their/her

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P26W4
      OFFSETS:	19-21
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تسيير
     IS_TRANS:	tsyyr
        INDEX:	P26W5
      OFFSETS:	22-27
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasoyiyr_1]
   UNSPLITVOC:	(tasoyiyr)
          POS:	NOUN
          VOC:	tasoyiyr
        GLOSS:	propulsion/steering/guidance

 INPUT STRING:	سياستها
     IS_TRANS:	syAsthA
        INDEX:	P26W6
      OFFSETS:	28-35
       TOKENS:	P26W9-P26W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(syAsithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	syAs+ap+hA
        GLOSS:	politics+[fem.sg.]+its/their/her

 INPUT STRING:	فأن
     IS_TRANS:	f>n
        INDEX:	P27W1
      OFFSETS:	1-4
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(fa>ano)
          POS:	CONJ+SUB_CONJ
          VOC:	fa+>ano
        GLOSS:	so/and+That, to

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P27W2
      OFFSETS:	5-8
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	kun+t
        GLOSS:	be+you

 INPUT STRING:	دارسا
     IS_TRANS:	dArsA
        INDEX:	P27W3
      OFFSETS:	9-14
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAris_1]
   UNSPLITVOC:	(dAris)
          POS:	ADJ
          VOC:	dAris
        GLOSS:	studying/researching

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P27W4
      OFFSETS:	15-18
       TOKENS:	P27W5-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P27W5
      OFFSETS:	19-22
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(h*h)
          POS:	NO_FUNC
          VOC:	h*h
        GLOSS:	nogloss

 INPUT STRING:	الامور
     IS_TRANS:	AlAmwr
        INDEX:	P27W6
      OFFSETS:	23-29
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
