 INPUT STRING:	مارأيك
       TOKENS:	P20W19-P20W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P20W13
      OFFSETS:	82-88
       TOKENS:	P20W20-P20W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlim_1]
   UNSPLITVOC:	(AlEAlim)
          POS:	DET+NOUN
          VOC:	Al+EAlim
        GLOSS:	the+world/worlds

 INPUT STRING:	وامين
     IS_TRANS:	wAmyn
        INDEX:	P21W1
      OFFSETS:	1-6
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Amiyn_1]
   UNSPLITVOC:	(wiAmiyn)
          POS:	CONJ+NOUN
          VOC:	wi+Amiyn
        GLOSS:	and+secretary

 INPUT STRING:	هذة
     IS_TRANS:	h*p
        INDEX:	P21W2
      OFFSETS:	7-10
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	الوكالة
     IS_TRANS:	AlwkAlp
        INDEX:	P21W3
      OFFSETS:	11-18
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wikAlap_1]
   UNSPLITVOC:	(AlwikAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wikAl+ap
        GLOSS:	the+agency+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P21W4
      OFFSETS:	19-21
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يتحرك
     IS_TRANS:	ytHrk
        INDEX:	P21W5
      OFFSETS:	22-27
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Har~ak_1]
   UNSPLITVOC:	(yitoHar~ak)
          POS:	IV3MS+IV_PASS
          VOC:	yi+toHar~ak
        GLOSS:	he/it+make move/activate/stimulate/be moved/be stimulated/be activated

 INPUT STRING:	حسب
     IS_TRANS:	Hsb
        INDEX:	P21W6
      OFFSETS:	28-31
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(Hasab)
          POS:	NOUN
          VOC:	Hasab
        GLOSS:	according to/in accordance with

 INPUT STRING:	هواة
     IS_TRANS:	hwAp
        INDEX:	P21W7
      OFFSETS:	32-36
       TOKENS:	P21W8-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hawaY_1]
   UNSPLITVOC:	(hawAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	hawA+h
        GLOSS:	affection/inclination/preference+its/his

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P21W8
      OFFSETS:	37-39
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	مبادئة
     IS_TRANS:	mbAd}p
        INDEX:	P21W9
      OFFSETS:	40-46
       TOKENS:	P21W11-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mabAda>_1]
   UNSPLITVOC:	(mabAdi}uhu)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	mabAdi}+uhu
        GLOSS:	principles/bases+its/his

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P21W10
      OFFSETS:	47-51
       TOKENS:	P21W13-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+but/however/yet/still

 INPUT STRING:	ينفذ
     IS_TRANS:	ynf*
        INDEX:	P21W11
      OFFSETS:	52-56
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naf~i*_1]
   UNSPLITVOC:	(yinaf~i*)
          POS:	IV3MS+IV
          VOC:	yi+naf~i*
        GLOSS:	he/it+implement/carry out/accomplish

 INPUT STRING:	قرارات
     IS_TRANS:	qrArAt
        INDEX:	P21W12
      OFFSETS:	57-63
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(qarArAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	qarAr+At
        GLOSS:	decisions/resolutions+[fem.pl.]

 INPUT STRING:	هذة
     IS_TRANS:	h*p
        INDEX:	P21W13
      OFFSETS:	64-67
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	الدول
     IS_TRANS:	Aldwl
        INDEX:	P21W14
      OFFSETS:	68-73
       TOKENS:	P21W18-P21W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~iwal)
          POS:	DET+NOUN
          VOC:	Al+diwal
        GLOSS:	the+state/country/states/countries

