 INPUT STRING:	قالوا
   UNSPLITVOC:	(faAlnisA')
          POS:	CONJ+DET+NOUN
          VOC:	fa+Al+nisA'
        GLOSS:	so/and+the+women

 INPUT STRING:	اللاتي
     IS_TRANS:	AllAty
        INDEX:	P18W6
      OFFSETS:	28-34
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(All~Atiy)
          POS:	REL_PRON
          VOC:	All~Atiy
        GLOSS:	who/whom [fem.pl.]

 INPUT STRING:	تصدين
     IS_TRANS:	tSdyn
        INDEX:	P18W7
      OFFSETS:	35-40
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tSdyn)
          POS:	NO_FUNC
          VOC:	tSdyn
        GLOSS:	nogloss

 INPUT STRING:	للغاز
     IS_TRANS:	llgAz
        INDEX:	P18W8
      OFFSETS:	41-46
       TOKENS:	P18W9-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAz_1]
   UNSPLITVOC:	(lilgAz)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+gAz
        GLOSS:	for/to+the+gas/gasses

 INPUT STRING:	المسيل
     IS_TRANS:	Almsyl
        INDEX:	P18W9
      OFFSETS:	47-53
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misay~il_1]
   UNSPLITVOC:	(Almisay~il)
          POS:	DET+ADJ
          VOC:	Al+misay~il
        GLOSS:	the+making flow (tear gas)

 INPUT STRING:	للدموع
     IS_TRANS:	lldmwE
        INDEX:	P18W10
      OFFSETS:	54-60
       TOKENS:	P18W12-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[damoE_1]
   UNSPLITVOC:	(lild~umuwE)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+dumuwE
        GLOSS:	to/for+the+tears

 INPUT STRING:	وطلقات
     IS_TRANS:	wTlqAt
        INDEX:	P18W11
      OFFSETS:	61-67
       TOKENS:	P18W14-P18W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taloqap_1]
   UNSPLITVOC:	(wiTaloqAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+Taloq+At
        GLOSS:	and+shot+[fem.pl.]

 INPUT STRING:	الرصاص
     IS_TRANS:	AlrSAS
        INDEX:	P18W12
      OFFSETS:	68-74
       TOKENS:	P18W16-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruSASap_1]
   UNSPLITVOC:	(Alr~uSAS)
          POS:	DET+NOUN
          VOC:	Al+ruSAS
        GLOSS:	the+bullets

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P18W13
      OFFSETS:	74-75
       TOKENS:	P18W17-P18W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	قيل
     IS_TRANS:	qyl
        INDEX:	P18W14
      OFFSETS:	76-79
       TOKENS:	P18W18-P18W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qiyla)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	qiyl+a
        GLOSS:	be said+he/it [verb]

 INPUT STRING:	لهن
     IS_TRANS:	lhn
        INDEX:	P18W15
      OFFSETS:	80-83
       TOKENS:	P18W19-P18W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahun~a)
          POS:	PREP+PRON_3FP
          VOC:	la+hun~a
        GLOSS:	to/for+them [fem.pl.] (they have)

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W16
      OFFSETS:	84-86
       TOKENS:	P18W21-P18W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P18W17
      OFFSETS:	87-90
       TOKENS:	P18W22-P18W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qibal_1]
   UNSPLITVOC:	(qibal)
          POS:	NOUN
          VOC:	qibal
        GLOSS:	(on the) part of

 INPUT STRING:	البعض
     IS_TRANS:	AlbED
        INDEX:	P18W18
      OFFSETS:	91-96
       TOKENS:	P18W23-P18W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(AlbaEoD)
          POS:	DET+NOUN
          VOC:	Al+baEoD
        GLOSS:	the+some, a few, little, part

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P18W19
      OFFSETS:	97-99
       TOKENS:	P18W24-P18W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	المكان
     IS_TRANS:	AlmkAn
        INDEX:	P18W20
      OFFSETS:	100-106
       TOKENS:	P18W25-P18W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(AlmakAn)
          POS:	DET+NOUN
          VOC:	Al+makAn
        GLOSS:	the+place/location/position

 INPUT STRING:	المناسب
     IS_TRANS:	AlmnAsb
        INDEX:	P18W21
      OFFSETS:	107-114
       TOKENS:	P18W26-P18W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munAsib_1]
   UNSPLITVOC:	(AlmunAsib)
          POS:	DET+ADJ
          VOC:	Al+munAsib
        GLOSS:	the+suitable/appropriate

 INPUT STRING:	لهن
     IS_TRANS:	lhn
        INDEX:	P18W22
      OFFSETS:	115-118
       TOKENS:	P18W27-P18W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahun~a)
          POS:	PREP+PRON_3FP
          VOC:	la+hun~a
        GLOSS:	to/for+them [fem.pl.] (they have)

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P18W23
      OFFSETS:	119-121
       TOKENS:	P18W29-P18W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	المنزل
     IS_TRANS:	Almnzl
        INDEX:	P18W24
      OFFSETS:	122-128
       TOKENS:	P18W30-P18W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manozil_1]
   UNSPLITVOC:	(Almanozil)
          POS:	DET+NOUN
          VOC:	Al+manozil
        GLOSS:	the+house/residence

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W25
      OFFSETS:	128-129
       TOKENS:	P18W31-P18W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W2
      OFFSETS:	5-7
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P19W3
      OFFSETS:	8-11
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(bayon)
          POS:	NOUN
          VOC:	bayon
        GLOSS:	between/among

 INPUT STRING:	هؤلاء
     IS_TRANS:	h&lA'
        INDEX:	P19W4
      OFFSETS:	12-17
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`&ulA'i)
          POS:	DEM_PRON_P
          VOC:	h`&ulA'i
        GLOSS:	these

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P19W5
      OFFSETS:	18-24
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	سالي
     IS_TRANS:	sAly
        INDEX:	P19W6
      OFFSETS:	25-29
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAliy_1]
   UNSPLITVOC:	(sAliy)
          POS:	NOUN_PROP
          VOC:	sAliy
        GLOSS:	Sally

 INPUT STRING:	ذهني
     IS_TRANS:	*hny
        INDEX:	P19W7
      OFFSETS:	30-34
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*uhoniy_1]
   UNSPLITVOC:	(*uhoniy)
          POS:	NOUN_PROP
          VOC:	*uhoniy
        GLOSS:	Gloss:TBA

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P19W8
      OFFSETS:	35-36
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	24
     IS_TRANS:	24
        INDEX:	P19W9
      OFFSETS:	36-38
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[24]
   UNSPLITVOC:	(24)
          POS:	NOUN_NUM
          VOC:	24
        GLOSS:	24

 INPUT STRING:	عاما
     IS_TRANS:	EAmA
        INDEX:	P19W10
      OFFSETS:	39-43
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAm)
          POS:	NOUN
          VOC:	EAm
        GLOSS:	year

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P19W11
      OFFSETS:	43-44
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	تعمل
     IS_TRANS:	tEml
        INDEX:	P19W12
      OFFSETS:	45-49
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEomal_1]
   UNSPLITVOC:	(taEomal)
          POS:	IV3MS+IV
          VOC:	ta+Eomal
        GLOSS:	they+work

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P19W13
      OFFSETS:	50-52
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	هيئة
     IS_TRANS:	hy}p
        INDEX:	P19W14
      OFFSETS:	53-57
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hay}ap_1]
   UNSPLITVOC:	(hay}ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	hay}+ap
        GLOSS:	organization/agency+[fem.sg.]

 INPUT STRING:	الأمم
     IS_TRANS:	Al>mm
        INDEX:	P19W15
      OFFSETS:	58-63
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>um~ap_1]
   UNSPLITVOC:	(Al>umam)
          POS:	DET+NOUN_PROP
          VOC:	Al+>umam
        GLOSS:	the+Nations

 INPUT STRING:	المتحدة
     IS_TRANS:	AlmtHdp
        INDEX:	P19W16
      OFFSETS:	64-71
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mut~aHidap_1]
   UNSPLITVOC:	(Almut~aHidap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+mut~aHid+ap
        GLOSS:	the+united+[fem.sg.]

 INPUT STRING:	للمرأة
     IS_TRANS:	llmr>p
        INDEX:	P19W17
      OFFSETS:	72-78
       TOKENS:	P19W17-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(lilmaro>ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+maro>+ap
        GLOSS:	for/to+the+woman+[fem.sg.]

 INPUT STRING:	وهي
     IS_TRANS:	why
        INDEX:	P19W18
      OFFSETS:	79-82
       TOKENS:	P19W19-P19W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ahiy_1]
   UNSPLITVOC:	(wihiy)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wi+hiy
        GLOSS:	and+she

 INPUT STRING:	كثيرة
     IS_TRANS:	kvyrp
        INDEX:	P19W19
      OFFSETS:	83-88
       TOKENS:	P19W21-P19W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_2]
   UNSPLITVOC:	(kaviyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kaviyr+ap
        GLOSS:	many/much/numerous+[fem.sg.]

 INPUT STRING:	النشاط
     IS_TRANS:	Aln$AT
        INDEX:	P19W20
      OFFSETS:	89-95
       TOKENS:	P19W22-P19W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$AT_1]
   UNSPLITVOC:	(Aln~a$AT)
          POS:	DET+NOUN
          VOC:	Al+na$AT
        GLOSS:	the+activity

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P19W21
      OFFSETS:	96-99
       TOKENS:	P19W23-P19W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	موقع
     IS_TRANS:	mwqE
        INDEX:	P19W22
      OFFSETS:	100-104
       TOKENS:	P19W24-P19W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqiE_1]
   UNSPLITVOC:	(mawqiE)
          POS:	NOUN
          VOC:	mawqiE
        GLOSS:	position/location/site

 INPUT STRING:	تويتر
     IS_TRANS:	twytr
        INDEX:	P19W23
      OFFSETS:	105-110
       TOKENS:	P19W25-P19W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twytr)
          POS:	FOREIGN
          VOC:	twytr
        GLOSS:	nogloss

 INPUT STRING:	للتواصل
     IS_TRANS:	lltwASl
        INDEX:	P19W24
      OFFSETS:	111-118
       TOKENS:	P19W26-P19W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawASul_2]
   UNSPLITVOC:	(lilt~awASul)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tawASul
        GLOSS:	to/for+the+communication

 INPUT STRING:	الاجتماعي
     IS_TRANS:	AlAjtmAEy
        INDEX:	P19W25
      OFFSETS:	119-128
       TOKENS:	P19W28-P19W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijotimAEiy_1]
   UNSPLITVOC:	(AlAijotimAEiy)
          POS:	DET+ADJ
          VOC:	Al+AijotimAEiy
        GLOSS:	the+social

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W26
      OFFSETS:	128-129
       TOKENS:	P19W29-P19W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وعلى
     IS_TRANS:	wElY
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(wiEalaY)
          POS:	CONJ+PREP
          VOC:	wi+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	صفحتها
     IS_TRANS:	SfHthA
        INDEX:	P20W2
      OFFSETS:	5-11
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SafoHap_1]
   UNSPLITVOC:	(SafoHathA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	SafoH+at+hA
        GLOSS:	page/leaf+[fem.sg.]+its/their/her

 INPUT STRING:	الخاصة
     IS_TRANS:	AlxASp
        INDEX:	P20W3
      OFFSETS:	12-18
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~ap_1]
   UNSPLITVOC:	(AlxAS~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+xAS~+ap
        GLOSS:	the+private/exclusive+[fem.sg.]

 INPUT STRING:	تصف
     IS_TRANS:	tSf
        INDEX:	P20W4
      OFFSETS:	19-22
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taSif]
   UNSPLITVOC:	(taSif)
          POS:	IV3FS+IV
          VOC:	ta+Sif
        GLOSS:	she/they+describe

 INPUT STRING:	سالي
     IS_TRANS:	sAly
        INDEX:	P20W5
      OFFSETS:	23-27
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAliy_1]
   UNSPLITVOC:	(sAliy)
          POS:	NOUN_PROP
          VOC:	sAliy
        GLOSS:	Sally

 INPUT STRING:	نفسها
     IS_TRANS:	nfshA
        INDEX:	P20W6
      OFFSETS:	28-33
       TOKENS:	P20W8-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[nafos_2]
   UNSPLITVOC:	(nafoshA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nafos+hA
        GLOSS:	soul+its/their/her

 INPUT STRING:	بأنها
     IS_TRANS:	b>nhA
        INDEX:	P20W7
      OFFSETS:	34-39
       TOKENS:	P20W10-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[an~a_1]
   UNSPLITVOC:	(bi>an~ahA)
          POS:	PREP+SUB_CONJ+PRON_3FS
          VOC:	bi+>an~a+hA
        GLOSS:	with+that+it/they/she

 INPUT STRING:	شجاعة
     IS_TRANS:	$jAEp
        INDEX:	P20W8
      OFFSETS:	40-45
       TOKENS:	P20W13-P20W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ujAE_1]
   UNSPLITVOC:	($ujAEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$ujAE+ap
        GLOSS:	brave+[fem.sg.]

 INPUT STRING:	وذات
     IS_TRANS:	w*At
        INDEX:	P20W9
      OFFSETS:	46-50
       TOKENS:	P20W14-P20W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*At_1]
   UNSPLITVOC:	(wi*At)
          POS:	CONJ+NOUN
          VOC:	wi+*At
        GLOSS:	and+same/self/essence

 INPUT STRING:	توجهات
     IS_TRANS:	twjhAt
        INDEX:	P20W10
      OFFSETS:	51-57
       TOKENS:	P20W16-P20W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawaj~uh_1]
   UNSPLITVOC:	(tawaj~uhAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	tawaj~uh+At
        GLOSS:	attitudes/approaches+[fem.pl.]

 INPUT STRING:	تقدمية
     IS_TRANS:	tqdmyp
        INDEX:	P20W11
      OFFSETS:	58-64
       TOKENS:	P20W17-P20W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqad~umiy_1]
   UNSPLITVOC:	(taqad~umiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	taqad~umiy~+ap
        GLOSS:	progressist+[fem.sg.]

 INPUT STRING:	ومناصرة
     IS_TRANS:	wmnASrp
        INDEX:	P20W12
      OFFSETS:	65-72
       TOKENS:	P20W18-P20W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munASirap_1]
   UNSPLITVOC:	(wamunASirat)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wa+munASir+at
        GLOSS:	and+defender+its/his

 INPUT STRING:	لحقوق
     IS_TRANS:	lHqwq
        INDEX:	P20W13
      OFFSETS:	73-78
       TOKENS:	P20W21-P20W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(liHuquwq)
          POS:	PREP+NOUN
          VOC:	li+Huquwq
        GLOSS:	for/to+right, prerogative, truth

 INPUT STRING:	المرأة
     IS_TRANS:	Almr>p
        INDEX:	P20W14
      OFFSETS:	79-85
       TOKENS:	P20W23-P20W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W15
      OFFSETS:	85-86
       TOKENS:	P20W24-P20W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	سالي
     IS_TRANS:	sAly
        INDEX:	P21W2
      OFFSETS:	5-9
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAliy_1]
   UNSPLITVOC:	(sAliy)
          POS:	NOUN_PROP
          VOC:	sAliy
        GLOSS:	Sally

 INPUT STRING:	إحدى
     IS_TRANS:	<HdY
        INDEX:	P21W3
      OFFSETS:	10-14
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(<iHodaY)
          POS:	NOUN_NUM
          VOC:	<iHodaY
        GLOSS:	one

 INPUT STRING:	المتطوعات
     IS_TRANS:	AlmtTwEAt
        INDEX:	P21W4
      OFFSETS:	15-24
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaTaw~iE_1]
   UNSPLITVOC:	(AlmutaTaw~iEAt)
