 INPUT STRING:	هنتخب
   UNSPLITVOC:	(HatiEiy$)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+Eiy$
        GLOSS:	will+it/they/she+live/experience/long live!/be lived/be experienced

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P18W3
      OFFSETS:	15-17
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	امان
     IS_TRANS:	AmAn
        INDEX:	P18W4
      OFFSETS:	18-22
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAn_1]
   UNSPLITVOC:	(>amAn)
          POS:	NOUN
          VOC:	>amAn
        GLOSS:	safety/protection

 INPUT STRING:	واطمئنان
     IS_TRANS:	wATm}nAn
        INDEX:	P18W5
      OFFSETS:	23-31
       TOKENS:	P18W7-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiTomi}onAn_1]
   UNSPLITVOC:	(wiAiTomi}onAn)
          POS:	CONJ+NOUN
          VOC:	wi+AiTomi}onAn
        GLOSS:	and+tranquility/serenity

 INPUT STRING:	والحزب
     IS_TRANS:	wAlHzb
        INDEX:	P19W1
      OFFSETS:	0-6
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(wiAlHizob)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+Hizob
        GLOSS:	and+the+party

 INPUT STRING:	الوطني
     IS_TRANS:	AlwTny
        INDEX:	P19W2
      OFFSETS:	7-13
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTaniy_1]
   UNSPLITVOC:	(AlwaTaniy)
          POS:	DET+ADJ
          VOC:	Al+waTaniy
        GLOSS:	the+national

 INPUT STRING:	اخيرا
     IS_TRANS:	AxyrA
        INDEX:	P19W3
      OFFSETS:	14-19
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxiyr_1]
   UNSPLITVOC:	(AxiyrAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	Axiyr+AF
        GLOSS:	finally/recently/lately+[acc.indef.]

 INPUT STRING:	هيلاقي
     IS_TRANS:	hylAqy
        INDEX:	P19W4
      OFFSETS:	20-26
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(HayilAqiy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+lAqiy
        GLOSS:	will+he/it+meet/encounter/be met/be encountered

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P19W5
      OFFSETS:	27-31
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	وصفوت
     IS_TRANS:	wSfwt
        INDEX:	P20W1
      OFFSETS:	0-5
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Safowat_1]
   UNSPLITVOC:	(wiSafowat)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+Safowat
        GLOSS:	and+Safwat

 INPUT STRING:	الشريف
     IS_TRANS:	Al$ryf
        INDEX:	P20W2
      OFFSETS:	6-12
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iriyf_1]
   UNSPLITVOC:	(Al$~iriyf)
          POS:	DET+NOUN_PROP
          VOC:	Al+$iriyf
        GLOSS:	the+Sharif

 INPUT STRING:	هيرجع
     IS_TRANS:	hyrjE
        INDEX:	P20W3
      OFFSETS:	13-18
       TOKENS:	P20W4-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(HayirojaE)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+rojaE
        GLOSS:	will+he/it+return/go back

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P20W4
      OFFSETS:	19-21
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/as

 INPUT STRING:	زمان
     IS_TRANS:	zmAn
        INDEX:	P20W5
      OFFSETS:	22-26
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration

 INPUT STRING:	وجمال
     IS_TRANS:	wjmAl
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(wijamAl)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+jamAl
        GLOSS:	and+Jamal/Gamal

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P21W2
      OFFSETS:	6-11
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P21W3
      OFFSETS:	12-22
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotixAb_1]
   UNSPLITVOC:	(AlAinotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AinotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P21W4
      OFFSETS:	23-27
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	what/that

 INPUT STRING:	الجاية
     IS_TRANS:	AljAyp
        INDEX:	P21W5
      OFFSETS:	28-34
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(AljAy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+jAy~+ap
        GLOSS:	the+coming+[fem.sg.]

 INPUT STRING:	يترشح
     IS_TRANS:	ytr$H
        INDEX:	P21W6
      OFFSETS:	35-40
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitra$~aH_1]
   UNSPLITVOC:	(yitra$~aH)
          POS:	IV3MS+IV
          VOC:	yi+tra$~aH
        GLOSS:	he/it+be nominated/be candidate

 INPUT STRING:	بجدارة
     IS_TRANS:	bjdArp
        INDEX:	P21W7
      OFFSETS:	41-47
       TOKENS:	P21W8-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadArap_1]
   UNSPLITVOC:	(bijadArap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+jadAr+ap
        GLOSS:	with/by+worthiness/aptitude/merit+[fem.sg.]

 INPUT STRING:	وآآآآآآآآآآآآآآآآآآخر
     IS_TRANS:	w||||||||||||||||||xr
        INDEX:	P22W1
      OFFSETS:	0-21
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(wi|xir)
          POS:	CONJ+ADJ_COMP
          VOC:	wi+|xir
        GLOSS:	and+last

 INPUT STRING:	حلاوة
     IS_TRANS:	HlAwp
        INDEX:	P22W2
      OFFSETS:	22-27
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HalAwap_1]
   UNSPLITVOC:	(HalAwap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HalAw+ap
        GLOSS:	sweetness/candies+[fem.sg.]

 INPUT STRING:	وعلاء
     IS_TRANS:	wElA'
        INDEX:	P22W3
      OFFSETS:	28-33
       TOKENS:	P22W4-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalA'_1]
   UNSPLITVOC:	(wiEalA')
          POS:	CONJ+NOUN_PROP
          VOC:	wi+EalA'
        GLOSS:	and+Alaa

 INPUT STRING:	وسوزان
     IS_TRANS:	wswzAn
        INDEX:	P22W4
      OFFSETS:	34-40
       TOKENS:	P22W6-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwzAn_1]
   UNSPLITVOC:	(wisuwzAn)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+suwzAn
        GLOSS:	and+Susan/Suzan/Suzanne

 INPUT STRING:	هنتخب
     IS_TRANS:	hntxb
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaxab_1]
   UNSPLITVOC:	(HaAanotaxib)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+notaxib
        GLOSS:	will+I+elect/vote

 INPUT STRING:	فلول
     IS_TRANS:	flwl
        INDEX:	P23W2
      OFFSETS:	6-10
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fal~_1]
   UNSPLITVOC:	(fuluwl)
          POS:	NOUN
          VOC:	fuluwl
        GLOSS:	dents/notches/nicks

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P23W3
      OFFSETS:	11-14
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	داهية
     IS_TRANS:	dAhyp
        INDEX:	P23W4
      OFFSETS:	15-20
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAhoyap_1]
   UNSPLITVOC:	(dAhoyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dAhoy+ap
        GLOSS:	calamity/catastrophe+[fem.sg.]

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P23W5
      OFFSETS:	21-28
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN
          VOC:	Al+taHoriyr
        GLOSS:	the+liberation/liberating/editorship/editing

 INPUT STRING:	والتغيير
     IS_TRANS:	wAltgyyr
        INDEX:	P23W6
      OFFSETS:	29-37
       TOKENS:	P23W8-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(wiAltagoyiyr)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+tagoyiyr
        GLOSS:	and+the+change/modification/replacement

 INPUT STRING:	ودم
     IS_TRANS:	wdm
        INDEX:	P23W7
      OFFSETS:	38-41
       TOKENS:	P23W10-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(widam~)
          POS:	CONJ+NOUN
          VOC:	wi+dam~
        GLOSS:	and+blood

 INPUT STRING:	الشهداء
     IS_TRANS:	Al$hdA'
        INDEX:	P23W8
      OFFSETS:	42-49
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	(Al$~uhadA')
          POS:	DET+NOUN
          VOC:	Al+$uhadA'
        GLOSS:	the+martyrs

 INPUT STRING:	وحقوق
     IS_TRANS:	wHqwq
        INDEX:	P23W9
      OFFSETS:	50-55
       TOKENS:	P23W13-P23W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(wiHuquwq)
          POS:	CONJ+NOUN
          VOC:	wi+Huquwq
        GLOSS:	and+right, prerogative, truth

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P23W10
      OFFSETS:	56-61
       TOKENS:	P23W15-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	والعدالة
     IS_TRANS:	wAlEdAlp
        INDEX:	P23W11
      OFFSETS:	62-70
       TOKENS:	P23W16-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EadAlap_1]
   UNSPLITVOC:	(wiAlEadAlap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+EadAl+ap
        GLOSS:	and+the+justice/fairness+[fem.sg.]

 INPUT STRING:	الاجتماعية
     IS_TRANS:	AlAjtmAEyp
        INDEX:	P23W12
      OFFSETS:	71-81
       TOKENS:	P23W18-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijotimAEiy_1]
   UNSPLITVOC:	(AlAijotimAEiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+AijotimAEiy~+ap
        GLOSS:	the+social+[fem.sg.]

 INPUT STRING:	والحريات
     IS_TRANS:	wAlHryAt
        INDEX:	P23W13
      OFFSETS:	82-90
       TOKENS:	P23W19-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(waAlHur~iy~At)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wa+Al+Hur~iy~+At
        GLOSS:	and+the+freedom+[fem.pl.]

 INPUT STRING:	العامة
     IS_TRANS:	AlEAmp
        INDEX:	P23W14
      OFFSETS:	91-97
       TOKENS:	P23W21-P23W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EAm~+ap
        GLOSS:	the+general/common/public+[fem.sg.]

 INPUT STRING:	وسامحوا
     IS_TRANS:	wsAmHwA
        INDEX:	P24W1
      OFFSETS:	0-7
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAmiH_1]
   UNSPLITVOC:	(wisAmoHuwA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	wi+sAmoH+uwA
        GLOSS:	and+forgive+they

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P24W2
      OFFSETS:	8-11
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P24W3
      OFFSETS:	12-14
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	النهب
     IS_TRANS:	Alnhb
        INDEX:	P24W4
      OFFSETS:	15-20
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahob_1]
   UNSPLITVOC:	(Aln~ahob)
          POS:	DET+NOUN
          VOC:	Al+nahob
        GLOSS:	the+looting/plundering

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P24W5
      OFFSETS:	21-23
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	البترول
     IS_TRANS:	Albtrwl
        INDEX:	P24W6
      OFFSETS:	24-31
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitorawl_1]
   UNSPLITVOC:	(Albitorawl)
          POS:	DET+NOUN
          VOC:	Al+bitorawl
        GLOSS:	the+petroleum

 INPUT STRING:	والدهب
     IS_TRANS:	wAldhb
        INDEX:	P24W7
      OFFSETS:	32-38
       TOKENS:	P24W8-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dahab_1]
   UNSPLITVOC:	(wiAldahab)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+dahab
        GLOSS:	and+the+gold

 INPUT STRING:	واموال
     IS_TRANS:	wAmwAl
        INDEX:	P24W8
      OFFSETS:	39-45
       TOKENS:	P24W10-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(wiAmowAl)
          POS:	CONJ+NOUN
          VOC:	wi+AmowAl
        GLOSS:	and+money/capital/funds/assets/capital/funds

 INPUT STRING:	المعاشات
     IS_TRANS:	AlmEA$At
        INDEX:	P24W9
      OFFSETS:	46-54
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEA$_1]
   UNSPLITVOC:	(AlmaEA$At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+maEA$+At
        GLOSS:	the+salary/pension/income+[fem.pl.]

 INPUT STRING:	وانتشار
     IS_TRANS:	wAnt$Ar
        INDEX:	P24W10
      OFFSETS:	55-62
       TOKENS:	P24W13-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainoti$Ar_1]
   UNSPLITVOC:	(wiAinoti$Ar)
          POS:	CONJ+NOUN
          VOC:	wi+Ainoti$Ar
        GLOSS:	and+spreading/spread/diffusion

 INPUT STRING:	الامراض
     IS_TRANS:	AlAmrAD
        INDEX:	P24W11
      OFFSETS:	63-70
       TOKENS:	P24W15-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maraD_1]
   UNSPLITVOC:	(AlAmorAD)
          POS:	DET+NOUN
          VOC:	Al+AmorAD
        GLOSS:	the+disease/illness

 INPUT STRING:	والبلطجة
     IS_TRANS:	wAlblTjp
        INDEX:	P24W12
      OFFSETS:	71-79
       TOKENS:	P24W16-P24W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajap_1]
   UNSPLITVOC:	(wiAlbaloTajap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+baloTaj+ap
        GLOSS:	and+the+gangsterism+[fem.sg.]

 INPUT STRING:	واهلا
     IS_TRANS:	wAhlA
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AholAF_1]
   UNSPLITVOC:	(wiAholAF)
          POS:	CONJ+NOUN
          VOC:	wi+Ahol
        GLOSS:	and+welcome

 INPUT STRING:	بأمن
     IS_TRANS:	b>mn
        INDEX:	P25W2
      OFFSETS:	6-10
       TOKENS:	P25W3-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(bi>amon)
          POS:	PREP+NOUN
          VOC:	bi+>amon
        GLOSS:	with/by+security/safety

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P25W3
      OFFSETS:	11-17
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	ورجالته
     IS_TRANS:	wrjAlth
        INDEX:	P25W4
      OFFSETS:	18-25
       TOKENS:	P25W6-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(wirij~Alatuh)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	wi+rij~Al+ap+uh
        GLOSS:	and+men+[fem.sg.]+his/its

 INPUT STRING:	وسجونه
     IS_TRANS:	wsjwnh
        INDEX:	P25W5
      OFFSETS:	26-32
       TOKENS:	P25W9-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sijn_1]
   UNSPLITVOC:	(wisjuwnuh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+sjuwn+uh
        GLOSS:	and+prisons+his/its

 INPUT STRING:	هنتخب
     IS_TRANS:	hntxb
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaxab_1]
   UNSPLITVOC:	(HaAanotaxib)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+notaxib
        GLOSS:	will+I+elect/vote

 INPUT STRING:	فلوووووووووووووووووووووووووووووووووووووووول
     IS_TRANS:	flwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwl
        INDEX:	P26W2
      OFFSETS:	6-49
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fal~1]
   UNSPLITVOC:	(fuluwl)
          POS:	NOUN
          VOC:	fuluwl
        GLOSS:	notches

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P27W1
      OFFSETS:	0-5
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	انجازات
     IS_TRANS:	AnjAzAt
        INDEX:	P27W2
      OFFSETS:	6-13
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inojAz_1]
   UNSPLITVOC:	(<inojAzAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	<inojAz+At
        GLOSS:	accomplishments/achievements/successes+[fem.pl.]

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P27W3
      OFFSETS:	14-19
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P27W4
      OFFSETS:	20-24
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P27W5
      OFFSETS:	25-27
