 INPUT STRING:	عجبت
        GLOSS:	aspiration/goal+our

 INPUT STRING:	جميعا
     IS_TRANS:	jmyEA
        INDEX:	P15W23
      OFFSETS:	112-117
       TOKENS:	P15W33-P15W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyEAF)
          POS:	NOUN_QUANT+CASE_INDEF_ACC
          VOC:	jamiyE+AF
        GLOSS:	all, entire, every, whole+[acc.indef.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W24
      OFFSETS:	118-120
       TOKENS:	P15W34-P15W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تطبيق
     IS_TRANS:	tTbyq
        INDEX:	P15W25
      OFFSETS:	121-126
       TOKENS:	P15W35-P15W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taTobiyq_1]
   UNSPLITVOC:	(taTobiyq)
          POS:	NOUN
          VOC:	taTobiyq
        GLOSS:	application

 INPUT STRING:	شرع
     IS_TRANS:	$rE
        INDEX:	P15W26
      OFFSETS:	127-130
       TOKENS:	P15W36-P15W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroE_1]
   UNSPLITVOC:	($aroE)
          POS:	NOUN
          VOC:	$aroE
        GLOSS:	law

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P15W27
      OFFSETS:	131-135
       TOKENS:	P15W37-P15W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W28
      OFFSETS:	135-136
       TOKENS:	P15W38-P15W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ألم
     IS_TRANS:	>lm
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(>alamo)
          POS:	INTERROG_PART+NEG_PART
          VOC:	>a+lamo
        GLOSS:	did+not

 INPUT STRING:	يقل
     IS_TRANS:	yql
        INDEX:	P16W2
      OFFSETS:	4-7
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl-u_1]
   UNSPLITVOC:	(yaqulo)
          POS:	IV3MS+IV+IVSUFF_MOOD:J
          VOC:	ya+qul+o
        GLOSS:	he/it+say+[jus.]

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P16W3
      OFFSETS:	8-16
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barAdoEiy_2]
   UNSPLITVOC:	(AlbarAdoEiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdoEiy
        GLOSS:	the+Baradei

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P16W4
      OFFSETS:	17-20
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he

 INPUT STRING:	يحترم
     IS_TRANS:	yHtrm
        INDEX:	P16W5
      OFFSETS:	21-26
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotaram_1]
   UNSPLITVOC:	(yiHotirim)
          POS:	IV3MS+IV
          VOC:	yi+Hotirim
        GLOSS:	he/it+respect/revere

 INPUT STRING:	الشريعة
     IS_TRANS:	Al$ryEp
        INDEX:	P16W6
      OFFSETS:	27-34
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyEap_1]
   UNSPLITVOC:	(Al$~ariyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ariyE+ap
        GLOSS:	the+Sharia , Islamic law+[fem.sg.]

 INPUT STRING:	الإسلامية
     IS_TRANS:	Al<slAmyp
        INDEX:	P16W7
      OFFSETS:	35-44
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(Al<isolAmiyap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<isolAmiy+ap
        GLOSS:	the+Islamic/Islamist/Muslim+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P16W8
      OFFSETS:	44-45
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	فهل
     IS_TRANS:	fhl
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(fahal)
          POS:	CONJ+INTERROG_PART
          VOC:	fa+hal
        GLOSS:	so/and+do?/is?

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P17W2
      OFFSETS:	4-7
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	If, whether, when, whenever

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P17W3
      OFFSETS:	8-11
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	البرادعي
     IS_TRANS:	AlbrAdEy
        INDEX:	P17W4
      OFFSETS:	12-20
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barAdiEiy_2]
   UNSPLITVOC:	(AlbarAdiEiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy
        GLOSS:	the+Baradei

 INPUT STRING:	رئيسا
     IS_TRANS:	r}ysA
        INDEX:	P17W5
      OFFSETS:	21-26
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iysAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	ra}iys+AF
        GLOSS:	president+[acc.indef.]

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P17W6
      OFFSETS:	27-31
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	وقتها
     IS_TRANS:	wqthA
        INDEX:	P17W7
      OFFSETS:	32-37
       TOKENS:	P17W8-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqotahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	waqot+hA
        GLOSS:	time/moment/period of time+its/their/her

 INPUT STRING:	معبرا
     IS_TRANS:	mEbrA
        INDEX:	P17W8
      OFFSETS:	38-43
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEab~ir_1]
   UNSPLITVOC:	(muEab~irAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	muEab~ir+AF
        GLOSS:	expressing+[acc.indef.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P17W9
      OFFSETS:	44-46
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P17W10
      OFFSETS:	47-52
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P17W11
      OFFSETS:	53-59
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P17W12
      OFFSETS:	59-60
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ونحن
     IS_TRANS:	wnHn
        INDEX:	P17W13
      OFFSETS:	61-65
       TOKENS:	P17W15-P17W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[naHonu_1]
   UNSPLITVOC:	(wanaHonu)
          POS:	CONJ+PRON_1P
          VOC:	wa+naHonu
        GLOSS:	and+we

 INPUT STRING:	نراه
     IS_TRANS:	nrAh
        INDEX:	P17W14
      OFFSETS:	66-70
       TOKENS:	P17W17-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>aY_1]
   UNSPLITVOC:	(narAh)
          POS:	IV1P+IV+IVSUFF_DO:3MS
          VOC:	na+raY+uh
        GLOSS:	we+see/think/believe+it/him

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P17W15
      OFFSETS:	71-73
       TOKENS:	P17W19-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مهرجان
     IS_TRANS:	mhrjAn
        INDEX:	P17W16
      OFFSETS:	74-80
       TOKENS:	P17W20-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahorajAn_1]
   UNSPLITVOC:	(mahorajAn)
          POS:	NOUN
          VOC:	mahorajAn
        GLOSS:	festival/fest

 INPUT STRING:	سنيمائي
     IS_TRANS:	snymA}y
        INDEX:	P17W17
      OFFSETS:	81-88
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siniymA}iy_1]
   UNSPLITVOC:	(siniymA}iy)
          POS:	ADJ
          VOC:	siniymA}iy
        GLOSS:	cinematic

 INPUT STRING:	يتبادل
     IS_TRANS:	ytbAdl
        INDEX:	P17W18
      OFFSETS:	89-95
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitobAdil_1]
   UNSPLITVOC:	(yitobAdil)
          POS:	IV3MS+IV
          VOC:	yi+tobAdil
        GLOSS:	he/it+exchange

 INPUT STRING:	القبلات
     IS_TRANS:	AlqblAt
        INDEX:	P17W19
      OFFSETS:	96-103
       TOKENS:	P17W23-P17W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qubolap_1]
   UNSPLITVOC:	(AlqubolAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+qubol+At
        GLOSS:	the+kisses+[fem.pl.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P17W20
      OFFSETS:	104-106
       TOKENS:	P17W24-P17W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	ممثلة
     IS_TRANS:	mmvlp
        INDEX:	P17W21
      OFFSETS:	107-112
       TOKENS:	P17W25-P17W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumav~ilap_1]
   UNSPLITVOC:	(mumav~ilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mumav~il+ap
        GLOSS:	actress+[fem.sg.]

 INPUT STRING:	هوليود
     IS_TRANS:	hwlywd
        INDEX:	P17W22
      OFFSETS:	113-119
       TOKENS:	P17W26-P17W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huwliywuwd_1]
   UNSPLITVOC:	(huwliywud)
          POS:	NOUN_PROP
          VOC:	huwliywud
        GLOSS:	Hollywood

 INPUT STRING:	أنجلينا
     IS_TRANS:	>njlynA
        INDEX:	P17W23
      OFFSETS:	120-127
       TOKENS:	P17W27-P17W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anojiliynA_1]
   UNSPLITVOC:	(>anojiliynA)
          POS:	NOUN_PROP
          VOC:	>anojiliynA
        GLOSS:	Angelina

 INPUT STRING:	جولى
     IS_TRANS:	jwlY
        INDEX:	P17W24
      OFFSETS:	128-132
       TOKENS:	P17W28-P17W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juwliy_1]
   UNSPLITVOC:	(juwliy)
          POS:	NOUN_PROP
          VOC:	juwliy
        GLOSS:	Julie

 INPUT STRING:	مقدما
     IS_TRANS:	mqdmA
        INDEX:	P17W25
      OFFSETS:	133-138
       TOKENS:	P17W29-P17W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqad~am_1]
   UNSPLITVOC:	(muqad~amAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	muqad~am+AF
        GLOSS:	offering/submitting/presenting+[acc.indef.]

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P17W26
      OFFSETS:	139-142
       TOKENS:	P17W30-P17W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	for/to+her/it/them

 INPUT STRING:	جائزة
     IS_TRANS:	jA}zp
        INDEX:	P17W27
      OFFSETS:	143-148
       TOKENS:	P17W32-P17W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA}izap_1]
   UNSPLITVOC:	(jA}izap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jA}iz+ap
        GLOSS:	prize/reward+[fem.sg.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P17W28
      OFFSETS:	149-151
       TOKENS:	P17W33-P17W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	فيلم
     IS_TRANS:	fylm
        INDEX:	P17W29
      OFFSETS:	152-156
       TOKENS:	P17W34-P17W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(fiylm)
          POS:	NOUN
          VOC:	fiylm
        GLOSS:	film/movie

 INPUT STRING:	يشوه
     IS_TRANS:	y$wh
        INDEX:	P17W30
      OFFSETS:	157-161
       TOKENS:	P17W35-P17W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aw~ih_1]
   UNSPLITVOC:	(yi$aw~ih)
          POS:	IV3MS+IV
          VOC:	yi+$aw~ih
        GLOSS:	he/it+distort/disfigure

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P17W31
      OFFSETS:	162-166
       TOKENS:	P17W36-P17W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo+[fem.sg.]

 INPUT STRING:	الإسلام
     IS_TRANS:	Al<slAm
        INDEX:	P17W32
      OFFSETS:	167-174
       TOKENS:	P17W37-P17W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(Al<isolAm)
          POS:	DET+NOUN_PROP
          VOC:	Al+<isolAm
        GLOSS:	the+Islam

 INPUT STRING:	والمسلمين
     IS_TRANS:	wAlmslmyn
        INDEX:	P17W33
      OFFSETS:	175-184
       TOKENS:	P17W38-P17W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(wiAlmusolimiyn)
          POS:	CONJ+DET+NOUN+NSUFF_MASC_PL
          VOC:	wi+Al+musolim+iyn
        GLOSS:	and+the+muslim+[masc.pl.]

 INPUT STRING:	وكم
     IS_TRANS:	wkm
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kum~_1]
   UNSPLITVOC:	(wikum~)
          POS:	CONJ+NOUN
          VOC:	wi+kum~
        GLOSS:	and+amount/quantity

 INPUT STRING:	الانحلال
     IS_TRANS:	AlAnHlAl
        INDEX:	P18W2
      OFFSETS:	4-12
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoHilAl_1]
   UNSPLITVOC:	(AlAinoHilAl)
          POS:	DET+NOUN
          VOC:	Al+AinoHilAl
        GLOSS:	the+dissolution/breakup

 INPUT STRING:	والحقارة
     IS_TRANS:	wAlHqArp
        INDEX:	P18W3
      OFFSETS:	13-21
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaqArap_1]
   UNSPLITVOC:	(wiAlHaqArap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+HaqAr+ap
        GLOSS:	and+the+vulgarity/ignominy+[fem.sg.]

 INPUT STRING:	البينة
     IS_TRANS:	Albynp
        INDEX:	P18W4
      OFFSETS:	22-28
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bay~inap_1]
   UNSPLITVOC:	(Albay~inap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+bay~in+ap
        GLOSS:	the+proof/evidence+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P18W5
      OFFSETS:	29-31
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P18W6
      OFFSETS:	32-35
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	الفيلم
     IS_TRANS:	Alfylm
        INDEX:	P18W7
      OFFSETS:	36-42
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(Alfiylm)
          POS:	DET+NOUN
          VOC:	Al+fiylm
        GLOSS:	the+film/movie

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P18W8
      OFFSETS:	42-43
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وكأن
     IS_TRANS:	wk>n
        INDEX:	P18W9
      OFFSETS:	44-48
       TOKENS:	P18W11-P18W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka>ano_1]
   UNSPLITVOC:	(waka>ano)
          POS:	CONJ+PREP+SUB_CONJ
          VOC:	wa+ka+>ano
        GLOSS:	and+as+that

 INPUT STRING:	دماء
     IS_TRANS:	dmA'
        INDEX:	P18W10
      OFFSETS:	49-53
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dam_1]
   UNSPLITVOC:	(dimA')
          POS:	NOUN
          VOC:	dimA'
        GLOSS:	blood

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P18W11
      OFFSETS:	54-62
       TOKENS:	P18W15-P18W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+musolim+iyn
        GLOSS:	the+Muslim+[masc.pl.]

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P18W12
      OFFSETS:	63-68
       TOKENS:	P18W16-P18W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	قتلوا
     IS_TRANS:	qtlwA
        INDEX:	P18W13
      OFFSETS:	69-74
       TOKENS:	P18W17-P18W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qatal-u_1]
   UNSPLITVOC:	(qutiluwA)
          POS:	PV_PASS+PVSUFF_SUBJ:3MP
          VOC:	qutil+uwA
        GLOSS:	be killed+they [verb]

 INPUT STRING:	وعذبوا
     IS_TRANS:	wE*bwA
        INDEX:	P18W14
      OFFSETS:	75-81
       TOKENS:	P18W18-P18W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ea*~ab_1]
   UNSPLITVOC:	(waEu*~ibuwA)
          POS:	CONJ+PV_PASS+PVSUFF_SUBJ:3MP
          VOC:	wa+Eu*~ib+uwA
        GLOSS:	and+be tortured/be tormented+they [verb]

 INPUT STRING:	والنساء
     IS_TRANS:	wAlnsA'
        INDEX:	P18W15
      OFFSETS:	82-89
       TOKENS:	P18W20-P18W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(waAlnisA')
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+nisA'
        GLOSS:	and+the+women

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P18W16
      OFFSETS:	90-94
       TOKENS:	P18W22-P18W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	هتكت
     IS_TRANS:	htkt
        INDEX:	P18W17
      OFFSETS:	95-99
       TOKENS:	P18W23-P18W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
