 INPUT STRING:	اولا
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	$irib+nA
        GLOSS:	drink+we

 INPUT STRING:	مقلب
     IS_TRANS:	mqlb
        INDEX:	P20W9
      OFFSETS:	48-52
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqolab_1]
   UNSPLITVOC:	(maqolab)
          POS:	NOUN
          VOC:	maqolab
        GLOSS:	dumping ground

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P20W10
      OFFSETS:	53-59
       TOKENS:	P20W13-P20W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	فكرررو
     IS_TRANS:	fkrrrw
        INDEX:	P21W1
      OFFSETS:	0-6
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(fak~iruwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	fak~ir+uwA
        GLOSS:	think+you [verb][pl.]

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P21W2
      OFFSETS:	7-11
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	good

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P21W3
      OFFSETS:	12-14
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P21W4
      OFFSETS:	15-21
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P21W5
      OFFSETS:	22-24
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this/that

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P21W6
      OFFSETS:	25-28
       TOKENS:	P21W6-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	to/for+that

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P21W7
      OFFSETS:	29-32
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	مصلحتو
     IS_TRANS:	mSlHtw
        INDEX:	P21W8
      OFFSETS:	33-39
       TOKENS:	P21W9-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSolaHtuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	maSolaH+ap+uh
        GLOSS:	interest/advantage/favor+[fem.sg.]+his/its

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P21W9
      OFFSETS:	40-42
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يولع
     IS_TRANS:	ywlE
        INDEX:	P21W10
      OFFSETS:	43-47
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~aE_1]
   UNSPLITVOC:	(yiwal~aE)
          POS:	IV3MS+IV
          VOC:	yi+wal~aE
        GLOSS:	he/it+kindle/light/set fire to

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P21W11
      OFFSETS:	48-53
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P21W12
      OFFSETS:	54-57
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P21W13
      OFFSETS:	58-61
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P21W14
      OFFSETS:	62-64
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السجون
     IS_TRANS:	Alsjwn
        INDEX:	P21W15
      OFFSETS:	65-71
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[sijn_1]
   UNSPLITVOC:	(Alsujuwn)
          POS:	DET+NOUN
          VOC:	Al+sujuwn
        GLOSS:	the+prisons

 INPUT STRING:	اقصد
     IS_TRANS:	AqSd
        INDEX:	P21W16
      OFFSETS:	72-76
       TOKENS:	P21W18-P21W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSad_1]
   UNSPLITVOC:	(AaqoSud)
          POS:	IV1S+IV
          VOC:	Aa+qoSud
        GLOSS:	I+intend/mean/pursue/be intended/be meant/be pursued

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P21W17
      OFFSETS:	77-79
       TOKENS:	P21W19-P21W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	برتو
     IS_TRANS:	brtw
        INDEX:	P21W18
      OFFSETS:	80-84
       TOKENS:	P21W20-P21W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[burotuw_1]
   UNSPLITVOC:	(burotuw)
          POS:	NOUN_PROP
          VOC:	burotuw
        GLOSS:	Burtu

 INPUT STRING:	طرة
     IS_TRANS:	Trp
        INDEX:	P21W19
      OFFSETS:	85-88
       TOKENS:	P21W21-P21W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Turap_1]
   UNSPLITVOC:	(Turap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	Tur+ap
        GLOSS:	Tura+[fem.sg.]

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P21W20
      OFFSETS:	89-92
       TOKENS:	P21W22-P21W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	to/for+that

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P21W21
      OFFSETS:	93-97
       TOKENS:	P21W24-P21W24
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mfy$)
          POS:	NO_FUNC
          VOC:	mfy$
        GLOSS:	nogloss

 INPUT STRING:	مصرى
     IS_TRANS:	mSrY
        INDEX:	P21W22
      OFFSETS:	98-102
       TOKENS:	P21W25-P21W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	مدلع
     IS_TRANS:	mdlE
        INDEX:	P21W23
      OFFSETS:	103-107
       TOKENS:	P21W26-P21W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[midal~aE_1]
   UNSPLITVOC:	(midal~aE)
          POS:	ADJ
          VOC:	midal~aE
        GLOSS:	pampered/spoiled

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P21W24
      OFFSETS:	108-111
       TOKENS:	P21W27-P21W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like this/this way

 INPUT STRING:	زيهم
     IS_TRANS:	zyhm
        INDEX:	P21W25
      OFFSETS:	112-116
       TOKENS:	P21W28-P21W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~iuhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	zay~i+hum
        GLOSS:	like/such as+their

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P22W1
      OFFSETS:	0-2
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	however/but

 INPUT STRING:	احب
     IS_TRANS:	AHb
        INDEX:	P22W2
      OFFSETS:	3-6
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(AaHib~)
          POS:	IV1S+IV
          VOC:	Aa+Hib~
        GLOSS:	I+like/want

 INPUT STRING:	اقول
     IS_TRANS:	Aqwl
        INDEX:	P22W3
      OFFSETS:	7-11
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/say/(for example)

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P22W4
      OFFSETS:	12-15
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	دمم
     IS_TRANS:	dmm
        INDEX:	P22W5
      OFFSETS:	16-19
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(dam~)
          POS:	NOUN
          VOC:	dam~
        GLOSS:	blood

 INPUT STRING:	المصرين
     IS_TRANS:	AlmSryn
        INDEX:	P22W6
      OFFSETS:	20-27
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSoriy_&_1]
   UNSPLITVOC:	(AlmiSoriyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+miSor+iyn
        GLOSS:	the+Egyptian+[pl.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P22W7
      OFFSETS:	28-30
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	رخيص
     IS_TRANS:	rxyS
        INDEX:	P22W8
      OFFSETS:	31-35
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rixiyS_1]
   UNSPLITVOC:	(rixiyS)
          POS:	ADJ
          VOC:	rixiyS
        GLOSS:	cheap

 INPUT STRING:	ومعدناااااااااااااش
     IS_TRANS:	wmEdnAAAAAAAAAAAAA$
        INDEX:	P22W9
      OFFSETS:	36-55
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wmEdnAAAAAAAAAAAAA$)
          POS:	NO_FUNC
          VOC:	wmEdnAAAAAAAAAAAAA$
        GLOSS:	nogloss

 INPUT STRING:	اغبية
     IS_TRANS:	Agbyp
        INDEX:	P22W10
      OFFSETS:	56-61
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gabiy_1]
   UNSPLITVOC:	(Aagobiyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Aagobiy+ap
        GLOSS:	ignorant/stupid+[fem.sg.]

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P22W11
      OFFSETS:	62-67
       TOKENS:	P22W11-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	نصدق
     IS_TRANS:	nSdq
        INDEX:	P22W12
      OFFSETS:	68-72
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(niSad~aq)
          POS:	IV1P+IV
          VOC:	ni+Sad~aq
        GLOSS:	we+believe/give credence to/confirm/be believed

 INPUT STRING:	السناريوهات
     IS_TRANS:	AlsnArywhAt
        INDEX:	P22W13
      OFFSETS:	73-84
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sinAriyuw_1]
   UNSPLITVOC:	(Als~inAriyuwhAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+sinAriyuwh+At
        GLOSS:	the+scenario+[fem.pl.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P22W14
      OFFSETS:	85-87
       TOKENS:	P22W15-P22W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this/that

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P22W15
      OFFSETS:	88-91
       TOKENS:	P22W16-P22W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بتتمثل
     IS_TRANS:	bttmvl
        INDEX:	P22W16
      OFFSETS:	92-98
       TOKENS:	P22W17-P22W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<itmav~al_1]
   UNSPLITVOC:	(bititmav~al)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+tmav~al
        GLOSS:	[present-tense]+it/they/she+be represented

 INPUT STRING:	بدمناااااااا
     IS_TRANS:	bdmnAAAAAAAA
        INDEX:	P22W17
      OFFSETS:	99-111
       TOKENS:	P22W19-P22W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(bidam~nA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	bi+dam~+nA
        GLOSS:	with/by+blood+our

 INPUT STRING:	كفاااااااااااااااااااااااااااااااااااااااااااااااي
     IS_TRANS:	kfAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAy
        INDEX:	P23W1
      OFFSETS:	0-50
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kfAyap_1]
   UNSPLITVOC:	(kfAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kfAy+ap
        GLOSS:	enough+[fem.sg.]

 INPUT STRING:	ة
     IS_TRANS:	p
        INDEX:	P23W2
      OFFSETS:	51-52
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(p)
          POS:	TYPO
          VOC:	p
        GLOSS:	nogloss

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P23W3
      OFFSETS:	53-56
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/thus

 INPUT STRING:	ارحمنااااااااااا
     IS_TRANS:	ArHmnAAAAAAAAAAA
        INDEX:	P23W4
      OFFSETS:	57-73
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(AirHamnA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	AirHam+(null)+nA
        GLOSS:	have mercy+you [verb][masc.sg.]+us

 INPUT STRING:	وامشى
     IS_TRANS:	wAm$Y
        INDEX:	P23W5
      OFFSETS:	74-79
       TOKENS:	P23W6-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(wiAimo$iy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+Aimo$iy+(null)
        GLOSS:	and+walk/go+you

 INPUT STRING:	واحب
     IS_TRANS:	wAHb
        INDEX:	P24W1
      OFFSETS:	0-4
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(wiAaHib~)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+Hib~
        GLOSS:	and+I+like/want

 INPUT STRING:	اضييييييف
     IS_TRANS:	ADyyyyyyf
        INDEX:	P24W2
      OFFSETS:	5-14
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AaDAf_1]
   UNSPLITVOC:	(AaDiyf)
          POS:	IV1S+IV
          VOC:	Aa+Diyf
        GLOSS:	I+add

 INPUT STRING:	لكلامى
     IS_TRANS:	lklAmY
        INDEX:	P24W3
      OFFSETS:	15-21
       TOKENS:	P24W4-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(likalAmiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+kalAm+iy
        GLOSS:	for/to+speech/statement/remark/talk/saying+my

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P24W4
      OFFSETS:	22-24
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الامن
     IS_TRANS:	AlAmn
        INDEX:	P24W5
      OFFSETS:	25-30
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	المركزى
     IS_TRANS:	AlmrkzY
        INDEX:	P24W6
      OFFSETS:	31-38
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marokaziy_1]
   UNSPLITVOC:	(Almarokaziy)
          POS:	DET+ADJ
          VOC:	Al+marokaziy
        GLOSS:	the+central

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P24W7
      OFFSETS:	39-44
       TOKENS:	P24W10-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	العظيم
     IS_TRANS:	AlEZym
        INDEX:	P24W8
      OFFSETS:	45-51
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZiym_1]
   UNSPLITVOC:	(AlEaZiym)
          POS:	DET+ADJ
          VOC:	Al+EaZiym
        GLOSS:	the+great/powerful

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P24W9
      OFFSETS:	52-54
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this/that

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P24W10
      OFFSETS:	55-57
       TOKENS:	P24W14-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	جوة
     IS_TRANS:	jwp
        INDEX:	P24W11
      OFFSETS:	58-61
       TOKENS:	P24W15-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juw~ah_1]
   UNSPLITVOC:	(juw~ah)
          POS:	NOUN
          VOC:	juw~ah
        GLOSS:	inside

 INPUT STRING:	الاستااااااااد
     IS_TRANS:	AlAstAAAAAAAAd
        INDEX:	P24W12
      OFFSETS:	62-76
       TOKENS:	P24W16-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AistAd_1]
   UNSPLITVOC:	(AlAistAd)
          POS:	DET+NOUN
          VOC:	Al+AistAd
        GLOSS:	the+stadium

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P25W1
      OFFSETS:	0-2
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بى
     IS_TRANS:	bY
        INDEX:	P25W2
      OFFSETS:	3-5
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bY)
          POS:	TYPO
          VOC:	bY
        GLOSS:	nogloss

 INPUT STRING:	الف
     IS_TRANS:	Alf
        INDEX:	P25W3
      OFFSETS:	6-9
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousand

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P25W4
      OFFSETS:	10-12
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
