 INPUT STRING:	ثقافه
      OFFSETS:	4-7
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(jiyl)
          POS:	NOUN
          VOC:	jiyl
        GLOSS:	generation/epoch/generations/epochs

 INPUT STRING:	مميزاته
     IS_TRANS:	mmyzAth
        INDEX:	P22W3
      OFFSETS:	8-15
       TOKENS:	P22W4-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumay~iz_1]
   UNSPLITVOC:	(mumay~izAtuh)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	mumay~iz+At+uh
        GLOSS:	distinguishing feature/characteristic/advantage+[fem.pl.]+its/his

 INPUT STRING:	وعيوبه
     IS_TRANS:	wEywbh
        INDEX:	P22W4
      OFFSETS:	16-22
       TOKENS:	P22W6-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euyuwb_1]
   UNSPLITVOC:	(wiEuyuwbuh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+Euyuwb+uh
        GLOSS:	and+faults/weaknesses+its/his

 INPUT STRING:	واذا
     IS_TRANS:	wA*A
        INDEX:	P23W1
      OFFSETS:	0-4
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(wi<i*A)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<i*A
        GLOSS:	and+if

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P23W2
      OFFSETS:	5-8
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P23W3
      OFFSETS:	9-11
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	راى
     IS_TRANS:	rAY
        INDEX:	P23W4
      OFFSETS:	12-15
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	البعض
     IS_TRANS:	AlbED
        INDEX:	P23W5
      OFFSETS:	16-21
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(AlbaEoD)
          POS:	DET+NOUN
          VOC:	Al+baEoD
        GLOSS:	the+some, a few, little, part

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P23W6
      OFFSETS:	22-28
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	فبمرور
     IS_TRANS:	fbmrwr
        INDEX:	P23W7
      OFFSETS:	29-35
       TOKENS:	P23W8-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muruwr_1]
   UNSPLITVOC:	(fabimuruwr)
          POS:	CONJ+PREP+NOUN
          VOC:	fa+bi+muruwr
        GLOSS:	so/and+with/by+passing/crossing/traffic

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P23W8
      OFFSETS:	36-41
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time

 INPUT STRING:	حنلاقى
     IS_TRANS:	HnlAqY
        INDEX:	P23W9
      OFFSETS:	42-48
       TOKENS:	P23W12-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(HanilAqiy)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+lAqiy
        GLOSS:	will+we+meet/encounter/be met/be encountered

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P23W10
      OFFSETS:	49-52
       TOKENS:	P23W14-P23W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P23W11
      OFFSETS:	53-57
       TOKENS:	P23W15-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	الامور
     IS_TRANS:	AlAmwr
        INDEX:	P23W12
      OFFSETS:	58-64
       TOKENS:	P23W16-P23W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(Al>umuwr)
          POS:	DET+NOUN
          VOC:	Al+>umuwr
        GLOSS:	the+matter/issue/matters/issues

 INPUT STRING:	بتتغير
     IS_TRANS:	bttgyr
        INDEX:	P23W13
      OFFSETS:	65-71
       TOKENS:	P23W17-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitogay~ar_1]
   UNSPLITVOC:	(bititogay~ar)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+togay~ar
        GLOSS:	[present-tense]+it/they/she+change

 INPUT STRING:	ودى
     IS_TRANS:	wdY
        INDEX:	P23W14
      OFFSETS:	72-75
       TOKENS:	P23W19-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(widiy)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wi+diy
        GLOSS:	and+this

 INPUT STRING:	اجمل
     IS_TRANS:	Ajml
        INDEX:	P23W15
      OFFSETS:	76-80
       TOKENS:	P23W21-P23W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajomal_1]
   UNSPLITVOC:	(>ajomal)
          POS:	ADJ_COMP
          VOC:	>ajomal
        GLOSS:	most beautiful

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P23W16
      OFFSETS:	81-85
       TOKENS:	P23W22-P23W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	جيلنا
     IS_TRANS:	jylnA
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(jiylnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	jiyl+nA
        GLOSS:	generation/epoch+our

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P24W2
      OFFSETS:	6-10
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	a lot

 INPUT STRING:	واعى
     IS_TRANS:	wAEY
        INDEX:	P24W3
      OFFSETS:	11-15
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAEiy_1]
   UNSPLITVOC:	(wAEiy)
          POS:	ADJ
          VOC:	wAEiy
        GLOSS:	aware/alert/conscious

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W4
      OFFSETS:	16-17
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P24W5
      OFFSETS:	17-20
       TOKENS:	P24W6-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	معنى
     IS_TRANS:	mEnY
        INDEX:	P24W6
      OFFSETS:	21-25
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonaY)
          POS:	NOUN
          VOC:	maEonaY
        GLOSS:	meaning/sense

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P24W7
      OFFSETS:	26-30
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	فئه
     IS_TRANS:	f}h
        INDEX:	P24W8
      OFFSETS:	31-34
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fi}ap_1]
   UNSPLITVOC:	(fi}ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fi}+ap
        GLOSS:	faction/party+[fem.sg.]

 INPUT STRING:	بتفكر
     IS_TRANS:	btfkr
        INDEX:	P24W9
      OFFSETS:	35-40
       TOKENS:	P24W11-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(bitifak~ar)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+fak~ar
        GLOSS:	[present-tense]+it/they/she+think/consider/ponder

 INPUT STRING:	بسطحيه
     IS_TRANS:	bsTHyh
        INDEX:	P24W10
      OFFSETS:	41-47
       TOKENS:	P24W13-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saToHiy~ap_1]
   UNSPLITVOC:	(bisaToHiy~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+saToHiy~+ap
        GLOSS:	with/by+flatness/superficiality+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P24W11
      OFFSETS:	48-50
       TOKENS:	P24W15-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P24W12
      OFFSETS:	51-55
       TOKENS:	P24W16-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	معناها
     IS_TRANS:	mEnAhA
        INDEX:	P24W13
      OFFSETS:	56-62
       TOKENS:	P24W17-P24W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	maEonA+hA
        GLOSS:	meaning/sense+its/their/her

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P24W14
      OFFSETS:	63-67
       TOKENS:	P24W19-P24W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they [masc. pl.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P24W15
      OFFSETS:	68-70
       TOKENS:	P24W21-P24W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	واعيين
     IS_TRANS:	wAEyyn
        INDEX:	P24W16
      OFFSETS:	71-77
       TOKENS:	P24W22-P24W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAEiy_1]
   UNSPLITVOC:	(wAEiyyin)
          POS:	ADJ+POSS_PRON_3P
          VOC:	wAEiy+yin
        GLOSS:	aware/alert/conscious+they

 INPUT STRING:	لبلدهم
     IS_TRANS:	lbldhm
        INDEX:	P24W17
      OFFSETS:	78-84
       TOKENS:	P24W24-P24W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(libaladhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	li+balad+hum
        GLOSS:	for/to+country/country/countries+their

 INPUT STRING:	ولمستقبلهم
     IS_TRANS:	wlmstqblhm
        INDEX:	P24W18
      OFFSETS:	85-95
       TOKENS:	P24W27-P24W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaqobal_1]
   UNSPLITVOC:	(wilimusotaqobalhum)
          POS:	CONJ+PREP+NOUN+POSS_PRON_3P
          VOC:	wi+li+musotaqobal+hum
        GLOSS:	and+for/to+future+their

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P25W1
      OFFSETS:	0-4
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	بنحب
     IS_TRANS:	bnHb
        INDEX:	P25W2
      OFFSETS:	5-9
       TOKENS:	P25W2-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(biniHib~)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+Hib~
        GLOSS:	[present-tense]+we+love

 INPUT STRING:	الحياه
     IS_TRANS:	AlHyAh
        INDEX:	P25W3
      OFFSETS:	10-16
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN
          VOC:	Al+HayAp
        GLOSS:	the+life/lives

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P25W4
      OFFSETS:	17-19
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/such as

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P25W5
      OFFSETS:	20-22
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what

 INPUT STRING:	بنحب
     IS_TRANS:	bnHb
        INDEX:	P25W6
      OFFSETS:	23-27
       TOKENS:	P25W7-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(biniHib~)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+Hib~
        GLOSS:	[present-tense]+we+love/like

 INPUT STRING:	نكون
     IS_TRANS:	nkwn
        INDEX:	P25W7
      OFFSETS:	28-32
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(nikuwn)
          POS:	IV1P+IV
          VOC:	ni+kuwn
        GLOSS:	we+be

 INPUT STRING:	مستقبلنا
     IS_TRANS:	mstqblnA
        INDEX:	P25W8
      OFFSETS:	33-41
       TOKENS:	P25W10-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaqobal_1]
   UNSPLITVOC:	(musotaqobalnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	musotaqobal+nA
        GLOSS:	future+our

 INPUT STRING:	بايدينا
     IS_TRANS:	bAydynA
        INDEX:	P25W9
      OFFSETS:	42-49
       TOKENS:	P25W12-P25W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(bi<iydiynA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	bi+<iydiy+nA
        GLOSS:	with/by+hand+our

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P25W10
      OFFSETS:	50-51
       TOKENS:	P25W15-P25W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P25W11
      OFFSETS:	51-53
       TOKENS:	P25W16-P25W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P25W12
      OFFSETS:	54-58
       TOKENS:	P25W17-P25W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نكون
     IS_TRANS:	nkwn
        INDEX:	P25W13
      OFFSETS:	59-63
       TOKENS:	P25W18-P25W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(nikuwn)
          POS:	IV1P+IV
          VOC:	ni+kuwn
        GLOSS:	we+be

 INPUT STRING:	مكشرين
     IS_TRANS:	mk$ryn
        INDEX:	P25W14
      OFFSETS:	64-70
       TOKENS:	P25W19-P25W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mk$ryn)
          POS:	NO_FUNC
          VOC:	mk$ryn
        GLOSS:	nogloss

 INPUT STRING:	وشايلين
     IS_TRANS:	w$Aylyn
        INDEX:	P25W15
      OFFSETS:	71-78
       TOKENS:	P25W20-P25W20
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(w$Aylyn)
          POS:	NO_FUNC
          VOC:	w$Aylyn
        GLOSS:	nogloss

 INPUT STRING:	الهم
     IS_TRANS:	Alhm
        INDEX:	P25W16
      OFFSETS:	79-83
       TOKENS:	P25W21-P25W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ham~_1]
   UNSPLITVOC:	(Alham~)
          POS:	DET+NOUN
          VOC:	Al+ham~
        GLOSS:	the+concern/interest/concerns/interests

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P25W17
      OFFSETS:	84-89
       TOKENS:	P25W22-P25W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	يتقال
     IS_TRANS:	ytqAl
        INDEX:	P25W18
      OFFSETS:	90-95
       TOKENS:	P25W24-P25W24
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ytqAl)
          POS:	NO_FUNC
          VOC:	ytqAl
        GLOSS:	nogloss

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P25W19
      OFFSETS:	96-101
       TOKENS:	P25W25-P25W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	مثقفين
     IS_TRANS:	mvqfyn
        INDEX:	P25W20
      OFFSETS:	102-108
       TOKENS:	P25W27-P25W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muvaq~af_1]
   UNSPLITVOC:	(muvaq~afiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	muvaq~af+iyn
        GLOSS:	intellectual/cultivated/cultured/educated+[masc.pl.]

 INPUT STRING:	اول
     IS_TRANS:	Awl
        INDEX:	P26W1
      OFFSETS:	0-3
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~il_1]
   UNSPLITVOC:	(>aw~il)
          POS:	ADJ
          VOC:	>aw~il
        GLOSS:	first of all/primarily/in the first place

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P26W2
      OFFSETS:	4-8
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	مرحب
     IS_TRANS:	mrHb
        INDEX:	P26W3
      OFFSETS:	9-13
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maroHab_1]
   UNSPLITVOC:	(maroHab)
          POS:	NOUN
          VOC:	maroHab
        GLOSS:	welcoming

 INPUT STRING:	بك
     IS_TRANS:	bk
        INDEX:	P26W4
      OFFSETS:	14-16
       TOKENS:	P26W4-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bik)
          POS:	PREP+PRON_2MS
          VOC:	bi+k
        GLOSS:	with/by+you [masc.sg.]

 INPUT STRING:	ودى
     IS_TRANS:	wdY
        INDEX:	P26W5
      OFFSETS:	17-20
       TOKENS:	P26W6-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(widiy)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wi+diy
        GLOSS:	and+this

 INPUT STRING:	اول
     IS_TRANS:	Awl
        INDEX:	P26W6
      OFFSETS:	21-24
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~il_1]
   UNSPLITVOC:	(>aw~il)
          POS:	ADJ
          VOC:	>aw~il
        GLOSS:	first of all/primarily/in the first place

 INPUT STRING:	مشاركة
     IS_TRANS:	m$Arkp
        INDEX:	P26W7
      OFFSETS:	25-31
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(mu$Arokap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$Arok+ap
        GLOSS:	participation+[fem.sg.]

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P26W8
      OFFSETS:	32-34
       TOKENS:	P26W10-P26W11
