 INPUT STRING:	مبارك
        INDEX:	P37W8
      OFFSETS:	31-37
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHiyd_1]
   UNSPLITVOC:	(AlwaHiyd)
          POS:	DET+ADJ
          VOC:	Al+waHiyd
        GLOSS:	the+exclusive/alone/sole/only

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W9
      OFFSETS:	37-38
       TOKENS:	P37W9-P37W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وائل
     IS_TRANS:	wA}l
        INDEX:	P38W1
      OFFSETS:	0-4
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA}il_1]
   UNSPLITVOC:	(wA}il)
          POS:	NOUN_PROP
          VOC:	wA}il
        GLOSS:	Wael

 INPUT STRING:	غنيم
     IS_TRANS:	gnym
        INDEX:	P38W2
      OFFSETS:	5-9
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gunayom_1]
   UNSPLITVOC:	(gunayom)
          POS:	NOUN_PROP
          VOC:	gunayom
        GLOSS:	Ghunaim

 INPUT STRING:	مجرد
     IS_TRANS:	mjrd
        INDEX:	P39W1
      OFFSETS:	0-4
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujar~ad_1]
   UNSPLITVOC:	(mujar~ad)
          POS:	NOUN
          VOC:	mujar~ad
        GLOSS:	nothing but/mere/for no other reason but/for the sole reason that

 INPUT STRING:	بني
     IS_TRANS:	bny
        INDEX:	P39W2
      OFFSETS:	5-8
       TOKENS:	P39W2-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(baniy)
          POS:	NOUN
          VOC:	baniy
        GLOSS:	son/boys/sons/children/children of

 INPUT STRING:	آدم
     IS_TRANS:	|dm
        INDEX:	P39W3
      OFFSETS:	9-12
       TOKENS:	P39W3-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|dam_1]
   UNSPLITVOC:	(|dam)
          POS:	NOUN_PROP
          VOC:	|dam
        GLOSS:	Adam

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P39W4
      OFFSETS:	12-13
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P40W1
      OFFSETS:	0-2
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	يهمني
     IS_TRANS:	yhmny
        INDEX:	P40W2
      OFFSETS:	3-8
       TOKENS:	P40W2-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ham~_1]
   UNSPLITVOC:	(yihim~iniy)
          POS:	IV3MS+IV+IVSUFF_DO:1S
          VOC:	yi+him~+niy
        GLOSS:	he/it+be ready/intend+me

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P40W3
      OFFSETS:	9-10
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P40W4
      OFFSETS:	11-13
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	يهم
     IS_TRANS:	yhm
        INDEX:	P40W5
      OFFSETS:	14-17
       TOKENS:	P40W6-P40W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ham~_1]
   UNSPLITVOC:	(yihim~)
          POS:	IV3MS+IV
          VOC:	yi+him~
        GLOSS:	he/it+be ready/intend

 INPUT STRING:	احد
     IS_TRANS:	AHd
        INDEX:	P40W6
      OFFSETS:	18-21
       TOKENS:	P40W7-P40W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one (of)/someone/anyone/no-one/ones/Sunday/Sundays

 INPUT STRING:	هويته
     IS_TRANS:	hwyth
        INDEX:	P40W7
      OFFSETS:	22-27
       TOKENS:	P40W8-P40W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hawiy~ap_1]
   UNSPLITVOC:	(hawiy~ituh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	hawiy~+ap+uh
        GLOSS:	identity+[fem.sg.]+his/its

 INPUT STRING:	فهو
     IS_TRANS:	fhw
        INDEX:	P41W1
      OFFSETS:	0-3
       TOKENS:	P41W1-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(fahuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	fa+huw~a
        GLOSS:	so/and+it/he

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P41W2
      OFFSETS:	4-6
       TOKENS:	P41W3-P41W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	يمثل
     IS_TRANS:	ymvl
        INDEX:	P41W3
      OFFSETS:	7-11
       TOKENS:	P41W4-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mav~al_1]
   UNSPLITVOC:	(yimav~il)
          POS:	IV3MS+IV
          VOC:	yi+mav~il
        GLOSS:	he/it+represent/constitute/act

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P41W4
      OFFSETS:	12-15
       TOKENS:	P41W5-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P41W5
      OFFSETS:	16-20
       TOKENS:	P41W6-P41W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafasuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves/soul/souls+his/its

 INPUT STRING:	تتفق
     IS_TRANS:	ttfq
        INDEX:	P41W6
      OFFSETS:	21-25
       TOKENS:	P41W8-P41W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~afaq_1]
   UNSPLITVOC:	(tit~ifiq)
          POS:	IV3FS+IV
          VOC:	ti+t~ifiq
        GLOSS:	it/they/she+agree

 INPUT STRING:	معه
     IS_TRANS:	mEh
        INDEX:	P41W7
      OFFSETS:	26-29
       TOKENS:	P41W9-P41W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maE+uh
        GLOSS:	something with/together+his/its

 INPUT STRING:	فيما
     IS_TRANS:	fymA
        INDEX:	P41W8
      OFFSETS:	30-34
       TOKENS:	P41W11-P41W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(fiymA)
          POS:	PREP+SUB_CONJ
          VOC:	fiy+mA
        GLOSS:	in, by+that/if/unless/whether/as long as/as soon as

 INPUT STRING:	تريد
     IS_TRANS:	tryd
        INDEX:	P41W9
      OFFSETS:	35-39
       TOKENS:	P41W13-P41W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(turiyd)
          POS:	IV3FS+IV
          VOC:	tu+riyd
        GLOSS:	it/they/she+want/desire/intend/be desired/be intended

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P41W10
      OFFSETS:	40-41
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	تختلف
     IS_TRANS:	txtlf
        INDEX:	P41W11
      OFFSETS:	42-47
       TOKENS:	P41W15-P41W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aixotalaf_1]
   UNSPLITVOC:	(tixotilif)
          POS:	IV3FS+IV
          VOC:	ti+xotilif
        GLOSS:	it/they/she+disagree/be different/fight/differ

 INPUT STRING:	فيما
     IS_TRANS:	fymA
        INDEX:	P41W12
      OFFSETS:	48-52
       TOKENS:	P41W16-P41W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(fiymA)
          POS:	PREP+SUB_CONJ
          VOC:	fiy+mA
        GLOSS:	in, by+that/if/unless/whether/as long as/as soon as

 INPUT STRING:	تريد
     IS_TRANS:	tryd
        INDEX:	P41W13
      OFFSETS:	53-57
       TOKENS:	P41W18-P41W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(turiyd)
          POS:	IV3FS+IV
          VOC:	tu+riyd
        GLOSS:	it/they/she+want/desire/intend/be desired/be intended

 INPUT STRING:	الإخوان
     IS_TRANS:	Al<xwAn
        INDEX:	P42W1
      OFFSETS:	0-7
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ixwAn_1]
   UNSPLITVOC:	(Al<ixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+<ixwAn
        GLOSS:	the+Ekhwan/Akhwan/A<ixwAn Islamic party/Brothers/Ikhwan

 INPUT STRING:	نعم
     IS_TRANS:	nEm
        INDEX:	P43W1
      OFFSETS:	0-3
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naEam_1]
   UNSPLITVOC:	(naEam)
          POS:	INTERJ
          VOC:	naEam
        GLOSS:	yes

 INPUT STRING:	نجحت
     IS_TRANS:	njHt
        INDEX:	P43W2
      OFFSETS:	4-8
       TOKENS:	P43W2-P43W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[najaH_1]
   UNSPLITVOC:	(najaHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	najaH+it
        GLOSS:	succeed+it/they/she

 INPUT STRING:	بدونهم
     IS_TRANS:	bdwnhm
        INDEX:	P43W3
      OFFSETS:	9-15
       TOKENS:	P43W3-P43W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biduwnhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+duwn+hum
        GLOSS:	with/by+beneath/underneath/without/him/poor/inferior/like that+their

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P43W4
      OFFSETS:	16-17
       TOKENS:	P43W6-P43W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	محاولتهم
     IS_TRANS:	mHAwlthm
        INDEX:	P43W5
      OFFSETS:	18-26
       TOKENS:	P43W7-P43W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAwalap_1]
   UNSPLITVOC:	(muHAwalathum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	muHAwal+at+hum
        GLOSS:	attempt/effort+[fem.sg.]+their

 INPUT STRING:	الحالية
     IS_TRANS:	AlHAlyp
        INDEX:	P43W6
      OFFSETS:	27-34
       TOKENS:	P43W9-P43W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy_1]
   UNSPLITVOC:	(AlHAliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+HAliy~+ap
        GLOSS:	the+current/present+[fem.sg.]

 INPUT STRING:	لنسب
     IS_TRANS:	lnsb
        INDEX:	P43W7
      OFFSETS:	35-39
       TOKENS:	P43W10-P43W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nasab_1]
   UNSPLITVOC:	(linasab)
          POS:	PREP+NOUN
          VOC:	li+nasab
        GLOSS:	for/to+lineage/kinship

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P43W8
      OFFSETS:	40-43
       TOKENS:	P43W12-P43W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some/a few/little/part

 INPUT STRING:	الفضل
     IS_TRANS:	AlfDl
        INDEX:	P43W9
      OFFSETS:	44-49
       TOKENS:	P43W13-P43W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faDol_1]
   UNSPLITVOC:	(AlfaDol)
          POS:	DET+NOUN
          VOC:	Al+faDol
        GLOSS:	the+distinction/quality/in addition (to)/good graces/goodwill/merits/favors/superiority

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P43W10
      OFFSETS:	50-53
       TOKENS:	P43W14-P43W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to/for+them [masc.pl.] (they have)

 INPUT STRING:	يدعوا
     IS_TRANS:	ydEwA
        INDEX:	P43W11
      OFFSETS:	54-59
       TOKENS:	P43W16-P43W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEaY_1]
   UNSPLITVOC:	(ydEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	y+dE+uwA
        GLOSS:	they+call someone names/supplicate/pray/be called/call/be invited+we

 INPUT STRING:	للتشكك
     IS_TRANS:	llt$kk
        INDEX:	P43W12
      OFFSETS:	60-66
       TOKENS:	P43W17-P43W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta$ak~uk_1]
   UNSPLITVOC:	(liAlta$ak~uk)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+ta$ak~uk
        GLOSS:	to/for+the+doubt/uncertainty

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P43W13
      OFFSETS:	67-69
       TOKENS:	P43W19-P43W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نواياهم
     IS_TRANS:	nwAyAhm
        INDEX:	P43W14
      OFFSETS:	70-77
       TOKENS:	P43W20-P43W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niy~ap_1]
   UNSPLITVOC:	(nawAyAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	nawAyA+hum
        GLOSS:	intention/purpose/desire/intentions/desires+their

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P43W15
      OFFSETS:	78-79
       TOKENS:	P43W22-P43W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	صدقها
     IS_TRANS:	SdqhA
        INDEX:	P43W16
      OFFSETS:	80-85
       TOKENS:	P43W23-P43W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sidoq_1]
   UNSPLITVOC:	(SidoqhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Sidoq+hA
        GLOSS:	sincerity/candor+its/their/her

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P44W1
      OFFSETS:	0-2
       TOKENS:	P44W1-P44W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with/together

 INPUT STRING:	ملاحظة
     IS_TRANS:	mlAHZp
        INDEX:	P44W2
      OFFSETS:	3-9
       TOKENS:	P44W2-P44W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mulAHoZap_1]
   UNSPLITVOC:	(mulAHoZap)
          POS:	NOUN.VN+NSUFF_FEM_SG
          VOC:	mulAHoZ+ap
        GLOSS:	observation+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P44W3
      OFFSETS:	10-12
       TOKENS:	P44W3-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<an~_1]
   UNSPLITVOC:	(<an~)
          POS:	SUB_CONJ
          VOC:	<an~
        GLOSS:	that/to

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P44W4
      OFFSETS:	13-15
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P44W5
      OFFSETS:	16-21
       TOKENS:	P44W5-P44W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be/was/were+they

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P44W6
      OFFSETS:	22-24
       TOKENS:	P44W6-P44W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التحيرير
     IS_TRANS:	AltHyryr
        INDEX:	P44W7
      OFFSETS:	25-33
       TOKENS:	P44W7-P44W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AltHyryr)
          POS:	TYPO
          VOC:	AltHyryr
        GLOSS:	nogloss

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P44W8
      OFFSETS:	34-39
       TOKENS:	P44W8-P44W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be/was/were+they

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P44W9
      OFFSETS:	40-42
       TOKENS:	P44W9-P44W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	شباب
     IS_TRANS:	$bAb
        INDEX:	P44W10
      OFFSETS:	43-47
       TOKENS:	P44W10-P44W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$Ab_1]
   UNSPLITVOC:	($abAb)
          POS:	NOUN
          VOC:	$abAb
        GLOSS:	young man/young men

 INPUT STRING:	الإخوان
     IS_TRANS:	Al<xwAn
        INDEX:	P44W11
      OFFSETS:	48-55
       TOKENS:	P44W11-P44W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ixwAn_1]
   UNSPLITVOC:	(Al<ixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+<ixwAn
        GLOSS:	the+Ekhwan/Akhwan/A<ixwAn Islamic party/Brothers/Ikhwan

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P45W1
      OFFSETS:	0-1
       TOKENS:	P45W1-P45W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P45W2
      OFFSETS:	2-7
       TOKENS:	P45W2-P45W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be/was/were+they

 INPUT STRING:	متعاونين
     IS_TRANS:	mtEAwnyn
        INDEX:	P45W3
      OFFSETS:	8-16
       TOKENS:	P45W3-P45W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mtEAwnyn)
          POS:	NO_FUNC
          VOC:	mtEAwnyn
        GLOSS:	nogloss

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P45W4
      OFFSETS:	17-19
       TOKENS:	P45W4-P45W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with/together

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P45W5
      OFFSETS:	20-22
       TOKENS:	P45W5-P45W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	الموجودين
     IS_TRANS:	Almwjwdyn
        INDEX:	P45W6
      OFFSETS:	23-32
       TOKENS:	P45W6-P45W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(Almawjuwdiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mawjuwd+iyn
        GLOSS:	the+present/existing/found/available/accessible/current+two

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P45W7
      OFFSETS:	33-36
       TOKENS:	P45W7-P45W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P45W8
      OFFSETS:	37-39
       TOKENS:	P45W8-P45W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	stop/halt/end/extent/limit/level/border/frontier

 INPUT STRING:	علمي
     IS_TRANS:	Elmy
        INDEX:	P45W9
      OFFSETS:	40-44
       TOKENS:	P45W9-P45W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilom_1]
   UNSPLITVOC:	(Eilomiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eilom+iy
