 INPUT STRING:	بالبلدى
          VOC:	min
        GLOSS:	from

 INPUT STRING:	شخص
     IS_TRANS:	$xS
        INDEX:	P23W16
      OFFSETS:	60-63
       TOKENS:	P23W17-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	($axoS)
          POS:	NOUN
          VOC:	$axoS
        GLOSS:	individual/person

 INPUT STRING:	مسيحى
     IS_TRANS:	msyHY
        INDEX:	P23W17
      OFFSETS:	64-69
       TOKENS:	P23W18-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misiyHiy_1]
   UNSPLITVOC:	(misiyHiy)
          POS:	ADJ
          VOC:	misiyHiy
        GLOSS:	Christian

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P23W18
      OFFSETS:	69-70
       TOKENS:	P23W19-P23W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P24W1
      OFFSETS:	0-4
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	NOUN
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P24W2
      OFFSETS:	5-7
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	لإن
     IS_TRANS:	l<n
        INDEX:	P24W3
      OFFSETS:	8-11
       TOKENS:	P24W3-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/to+that

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P24W4
      OFFSETS:	12-14
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P24W5
      OFFSETS:	15-19
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	ADJ
          VOC:	HarAm
        GLOSS:	sacred/holy

 INPUT STRING:	شرعاً
     IS_TRANS:	$rEAF
        INDEX:	P24W6
      OFFSETS:	20-25
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aroE_1]
   UNSPLITVOC:	($aroEAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	$aroE+AF
        GLOSS:	legal+[acc.indef.]

 INPUT STRING:	بنص
     IS_TRANS:	bnS
        INDEX:	P24W7
      OFFSETS:	26-29
       TOKENS:	P24W8-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naS~_1]
   UNSPLITVOC:	(binaS~)
          POS:	PREP+NOUN
          VOC:	bi+naS~
        GLOSS:	with/by+text

 INPUT STRING:	القران
     IS_TRANS:	AlqrAn
        INDEX:	P24W8
      OFFSETS:	30-36
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qur|n_1]
   UNSPLITVOC:	(Alqur|n)
          POS:	DET+NOUN_PROP
          VOC:	Al+qur|n
        GLOSS:	the+Quran

 INPUT STRING:	الكريم
     IS_TRANS:	Alkrym
        INDEX:	P24W9
      OFFSETS:	37-43
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kariym_1]
   UNSPLITVOC:	(Alkariym)
          POS:	DET+ADJ
          VOC:	Al+kariym
        GLOSS:	the+distinguished/generous/noble/precious

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W10
      OFFSETS:	43-44
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W11
      OFFSETS:	44-45
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P25W1
      OFFSETS:	0-3
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+law
        GLOSS:	and+if

 INPUT STRING:	مسلمة
     IS_TRANS:	mslmp
        INDEX:	P25W2
      OFFSETS:	4-9
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(musolimap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	musolim+ap
        GLOSS:	Muslim+[fem.sg.]

 INPUT STRING:	تزوجت
     IS_TRANS:	tzwjt
        INDEX:	P25W3
      OFFSETS:	10-15
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tzaw~ij_1]
   UNSPLITVOC:	(tzaw~ijit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	tzaw~ij+it
        GLOSS:	get married+she/it/they [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P25W4
      OFFSETS:	16-18
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مسيحى
     IS_TRANS:	msyHY
        INDEX:	P25W5
      OFFSETS:	19-24
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misiyHiy_1]
   UNSPLITVOC:	(misiyHiy)
          POS:	NOUN
          VOC:	misiyHiy
        GLOSS:	Christian

 INPUT STRING:	هيبقى
     IS_TRANS:	hybqY
        INDEX:	P25W6
      OFFSETS:	25-30
       TOKENS:	P25W7-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(hayiboqaY)
          POS:	FUT_PART+IV3MS+IV
          VOC:	ha+yi+boqaY
        GLOSS:	will+he/it+become/remain

 INPUT STRING:	زنا
     IS_TRANS:	znA
        INDEX:	P25W7
      OFFSETS:	31-34
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zinA_1]
   UNSPLITVOC:	(zinA)
          POS:	NOUN
          VOC:	zinA
        GLOSS:	adultery/fornication

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P25W8
      OFFSETS:	34-35
       TOKENS:	P25W10-P25W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P26W1
      OFFSETS:	0-3
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	أعرنى
     IS_TRANS:	>ErnY
        INDEX:	P26W2
      OFFSETS:	4-9
       TOKENS:	P26W2-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEAr_1]
   UNSPLITVOC:	(>aEirniy)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1S
          VOC:	>aEir+(null)+niy
        GLOSS:	lend/loan/devote+you [masc.sg.] [verb]+me

 INPUT STRING:	انتباهك
     IS_TRANS:	AntbAhk
        INDEX:	P26W3
      OFFSETS:	10-17
       TOKENS:	P26W4-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AintibAh_1]
   UNSPLITVOC:	(AintibAhak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	AintibAh+ak
        GLOSS:	attention/caution/vigilance+your [masc.sg.]

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P26W4
      OFFSETS:	18-21
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	وركز
     IS_TRANS:	wrkz
        INDEX:	P26W5
      OFFSETS:	22-26
       TOKENS:	P26W7-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rak~iz_1]
   UNSPLITVOC:	(wirak~iz)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+rak~iz+(null)
        GLOSS:	and+focus/concentrate/emphasize+you [masc.sg.] [verb]

 INPUT STRING:	معايا
     IS_TRANS:	mEAyA
        INDEX:	P26W6
      OFFSETS:	27-32
       TOKENS:	P26W9-P26W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maEa+iy
        GLOSS:	something with+my

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P26W7
      OFFSETS:	33-34
       TOKENS:	P26W11-P26W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P26W8
      OFFSETS:	34-35
       TOKENS:	P26W12-P26W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	لنفرض
     IS_TRANS:	lnfrD
        INDEX:	P27W1
      OFFSETS:	0-5
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lnfrD)
          POS:	NO_FUNC
          VOC:	lnfrD
        GLOSS:	nogloss

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P27W2
      OFFSETS:	6-8
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P27W3
      OFFSETS:	9-11
       TOKENS:	P27W3-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	بنت
     IS_TRANS:	bnt
        INDEX:	P27W4
      OFFSETS:	12-15
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binot)
          POS:	NOUN
          VOC:	binot
        GLOSS:	daughter/girl

 INPUT STRING:	مسيحية
     IS_TRANS:	msyHyp
        INDEX:	P27W5
      OFFSETS:	16-22
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misiyHiy_1]
   UNSPLITVOC:	(misiyHiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	misiyHiy~+ap
        GLOSS:	Christian+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W6
      OFFSETS:	22-23
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W7
      OFFSETS:	23-24
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وأعتنقت
     IS_TRANS:	w>Etnqt
        INDEX:	P27W8
      OFFSETS:	24-31
       TOKENS:	P27W9-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotanaq_1]
   UNSPLITVOC:	(wiAiEotanaqit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+AiEotanaq+it
        GLOSS:	and+embrace/adopt+they/it/she [verb]

 INPUT STRING:	الإسلام
     IS_TRANS:	Al<slAm
        INDEX:	P27W9
      OFFSETS:	32-39
       TOKENS:	P27W11-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(Al<isolAm)
          POS:	DET+NOUN
          VOC:	Al+<isolAm
        GLOSS:	the+Islam

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W10
      OFFSETS:	39-40
       TOKENS:	P27W12-P27W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W11
      OFFSETS:	40-41
       TOKENS:	P27W13-P27W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وأخفت
     IS_TRANS:	w>xft
        INDEX:	P28W1
      OFFSETS:	0-5
       TOKENS:	P28W1-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axofay_1]
   UNSPLITVOC:	(wi>axofit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+>axof+it
        GLOSS:	and+hide/conceal+she/it/they [verb]

 INPUT STRING:	إسلامها
     IS_TRANS:	<slAmhA
        INDEX:	P28W2
      OFFSETS:	6-13
       TOKENS:	P28W3-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<islAm_1]
   UNSPLITVOC:	(<islAmhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	<islAm+hA
        GLOSS:	Islam+her/its/their

 INPUT STRING:	وعايشة
     IS_TRANS:	wEAy$p
        INDEX:	P28W3
      OFFSETS:	14-20
       TOKENS:	P28W5-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyi$_1]
   UNSPLITVOC:	(wiEAyo$ap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+EAyo$+ap
        GLOSS:	and+living/alive+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P28W4
      OFFSETS:	21-23
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وسط
     IS_TRANS:	wsT
        INDEX:	P28W5
      OFFSETS:	24-27
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wisoT_1]
   UNSPLITVOC:	(wisoT)
          POS:	NOUN
          VOC:	wisoT
        GLOSS:	middle/midst/among

 INPUT STRING:	أهلها
     IS_TRANS:	>hlhA
        INDEX:	P28W6
      OFFSETS:	28-33
       TOKENS:	P28W9-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ahl_1]
   UNSPLITVOC:	(>ahlahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>ahl+hA
        GLOSS:	family/people+her/its/their

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P28W7
      OFFSETS:	34-38
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete

 INPUT STRING:	التمام
     IS_TRANS:	AltmAm
        INDEX:	P28W8
      OFFSETS:	39-45
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(Alt~amAm)
          POS:	DET+NOUN
          VOC:	Al+tamAm
        GLOSS:	the+exact/complete

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W9
      OFFSETS:	45-46
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W10
      OFFSETS:	46-47
       TOKENS:	P28W14-P28W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وفاجئة
     IS_TRANS:	wfAj}p
        INDEX:	P29W1
      OFFSETS:	0-6
       TOKENS:	P29W1-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faj>ap_1]
   UNSPLITVOC:	(wifaj>ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+faj>+ap
        GLOSS:	and+suddenly+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P29W2
      OFFSETS:	7-8
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P29W3
      OFFSETS:	8-9
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	جالها
     IS_TRANS:	jAlhA
        INDEX:	P29W4
      OFFSETS:	10-15
       TOKENS:	P29W5-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(jA_lahA)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_3FS
          VOC:	jA+(null)+li+hA
        GLOSS:	come+he/it [verb]+for/to+her/it/them

 INPUT STRING:	عريس
     IS_TRANS:	Erys
        INDEX:	P29W5
      OFFSETS:	16-20
       TOKENS:	P29W8-P29W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eariys_1]
   UNSPLITVOC:	(Eariys)
          POS:	NOUN
          VOC:	Eariys
        GLOSS:	bridegroom/newlywed

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P29W6
      OFFSETS:	20-21
       TOKENS:	P29W9-P29W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P29W7
      OFFSETS:	21-22
       TOKENS:	P29W10-P29W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	هترفضة
     IS_TRANS:	htrfDp
        INDEX:	P30W1
      OFFSETS:	0-6
       TOKENS:	P30W1-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rafaD_1]
   UNSPLITVOC:	(hatirfuDuh)
          POS:	FUT_PART+IV3FS+IV+IVSUFF_DO:3MS
          VOC:	ha+ti+rfuD+uh
        GLOSS:	will+she/it/they+reject/refuse+him/it

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P30W2
      OFFSETS:	7-12
       TOKENS:	P30W4-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P30W3
      OFFSETS:	13-15
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it/they

 INPUT STRING:	بقت
     IS_TRANS:	bqt
        INDEX:	P30W4
      OFFSETS:	16-19
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	baq+it
        GLOSS:	become/remain+it/they/she [verb]

 INPUT STRING:	مسلمة
     IS_TRANS:	mslmp
        INDEX:	P30W5
      OFFSETS:	20-25
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(musolimap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musolim+ap
        GLOSS:	Muslim+[fem.sg.]

 INPUT STRING:	ومينفعش
     IS_TRANS:	wmynfE$
        INDEX:	P30W6
      OFFSETS:	26-33
       TOKENS:	P30W9-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nifiE_1]
   UNSPLITVOC:	(wimAyinfaE$)
          POS:	CONJ+NEG_PART+IV3MS+IV+NEG_PART
          VOC:	wi+mA+yi+nfaE+$
        GLOSS:	and+not+he/it+be useful to/be advantageous to+not

 INPUT STRING:	تتزوج
     IS_TRANS:	ttzwj
        INDEX:	P30W7
      OFFSETS:	34-39
       TOKENS:	P30W13-P30W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tzaw~ij_1]
   UNSPLITVOC:	(titzaw~ij)
          POS:	IV3FS+IV
          VOC:	ti+tzaw~ij
        GLOSS:	she/it/they+get married

 INPUT STRING:	مسيحى
     IS_TRANS:	msyHY
        INDEX:	P30W8
      OFFSETS:	40-45
       TOKENS:	P30W14-P30W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misiyHiy_1]
