 INPUT STRING:	وما
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+gay~ar+iy
        GLOSS:	you+change/modify+you

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P335W5
      OFFSETS:	18-22
       TOKENS:	P335W5-P335W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P335W6
      OFFSETS:	23-25
       TOKENS:	P335W6-P335W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تعرفنيش
     IS_TRANS:	tErfny$
        INDEX:	P335W7
      OFFSETS:	26-33
       TOKENS:	P335W7-P335W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(tiEorafiniy$)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:1S+NEG_PART
          VOC:	ti+Eoraf+iy+niy+$
        GLOSS:	you+know+you+me+not

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P335W8
      OFFSETS:	33-34
       TOKENS:	P335W10-P335W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P335W9
      OFFSETS:	35-37
       TOKENS:	P335W11-P335W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P335W10
      OFFSETS:	37-38
       TOKENS:	P335W12-P335W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	رديت
     IS_TRANS:	rdyt
        INDEX:	P335W11
      OFFSETS:	39-43
       TOKENS:	P335W13-P335W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~iyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	rad~+iyt
        GLOSS:	answer/reply/return/be returned/be given back+I

 INPUT STRING:	ب
     IS_TRANS:	b
        INDEX:	P335W12
      OFFSETS:	44-45
       TOKENS:	P335W14-P335W14
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(b)
          POS:	NO_FUNC
          VOC:	b
        GLOSS:	nogloss

 INPUT STRING:	”
     IS_TRANS:	&#x201d;
        INDEX:	P335W13
      OFFSETS:	45-46
       TOKENS:	P335W15-P335W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#x201d;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	[
     IS_TRANS:	[
        INDEX:	P335W14
      OFFSETS:	46-47
       TOKENS:	P335W16-P335W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	([)
          POS:	PUNC
          VOC:	[
        GLOSS:	[

 INPUT STRING:	]
     IS_TRANS:	]
        INDEX:	P335W15
      OFFSETS:	47-48
       TOKENS:	P335W17-P335W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(])
          POS:	PUNC
          VOC:	]
        GLOSS:	]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P335W16
      OFFSETS:	48-49
       TOKENS:	P335W18-P335W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P336W1
      OFFSETS:	0-2
       TOKENS:	P336W1-P336W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	واي
     IS_TRANS:	wAy
        INDEX:	P337W1
      OFFSETS:	0-3
       TOKENS:	P337W1-P337W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wAy)
          POS:	FOREIGN
          VOC:	wAy
        GLOSS:	nogloss

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P337W2
      OFFSETS:	4-7
       TOKENS:	P337W2-P337W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(myn)
          POS:	FOREIGN
          VOC:	myn
        GLOSS:	nogloss

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P337W3
      OFFSETS:	8-11
       TOKENS:	P337W3-P337W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>yh)
          POS:	FOREIGN
          VOC:	>yh
        GLOSS:	nogloss

 INPUT STRING:	تحس
     IS_TRANS:	tHs
        INDEX:	P337W4
      OFFSETS:	12-15
       TOKENS:	P337W4-P337W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(tHs)
          POS:	FOREIGN
          VOC:	tHs
        GLOSS:	nogloss

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P337W5
      OFFSETS:	16-18
       TOKENS:	P337W5-P337W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(tm)
          POS:	FOREIGN
          VOC:	tm
        GLOSS:	nogloss

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P337W6
      OFFSETS:	19-23
       TOKENS:	P337W6-P337W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P337W7
      OFFSETS:	24-27
       TOKENS:	P337W8-P337W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	أتهنت
     IS_TRANS:	>thnt
        INDEX:	P337W8
      OFFSETS:	28-33
       TOKENS:	P337W9-P337W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitohAn_1]
   UNSPLITVOC:	(Aitohant)
          POS:	PV_PASS+PVSUFF_SUBJ:1S
          VOC:	Aitohan+t
        GLOSS:	be insulted+I

 INPUT STRING:	كثير
     IS_TRANS:	kvyr
        INDEX:	P337W9
      OFFSETS:	34-38
       TOKENS:	P337W10-P337W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kiviyr)
          POS:	ADJ
          VOC:	kiviyr
        GLOSS:	very/much/numerous/so much/a lot/more/alot/many

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P337W10
      OFFSETS:	38-39
       TOKENS:	P337W11-P337W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	رجولتي
     IS_TRANS:	rjwlty
        INDEX:	P337W11
      OFFSETS:	40-46
       TOKENS:	P337W12-P337W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rujuwlap_1]
   UNSPLITVOC:	(rujuwltiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	rujuwl+ap+iy
        GLOSS:	masculinity/virility+[fem.sg.]+my

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P337W12
      OFFSETS:	47-49
       TOKENS:	P337W14-P337W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	رخيصة
     IS_TRANS:	rxySp
        INDEX:	P337W13
      OFFSETS:	50-55
       TOKENS:	P337W15-P337W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rixiyS_1]
   UNSPLITVOC:	(rixiySap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	rixiyS+ap
        GLOSS:	cheap/low/insignificant/contemptible/scornful/derision/contempt+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P337W14
      OFFSETS:	56-59
       TOKENS:	P337W16-P337W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P338W1
      OFFSETS:	0-3
       TOKENS:	P338W1-P338W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	اهدأ
     IS_TRANS:	Ahd>
        INDEX:	P338W2
      OFFSETS:	4-8
       TOKENS:	P338W2-P338W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hada>_1]
   UNSPLITVOC:	(Aihoda>)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Aihoda>+(null)
        GLOSS:	calm down+you

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P339W1
      OFFSETS:	0-2
       TOKENS:	P339W1-P339W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P339W2
      OFFSETS:	3-5
       TOKENS:	P339W2-P339W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	كذا
     IS_TRANS:	k*A
        INDEX:	P339W3
      OFFSETS:	6-9
       TOKENS:	P339W4-P339W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka*A_1]
   UNSPLITVOC:	(ka*A)
          POS:	NOUN
          VOC:	ka*A
        GLOSS:	such/thus/so

 INPUT STRING:	بنتين
     IS_TRANS:	bntyn
        INDEX:	P339W4
      OFFSETS:	10-15
       TOKENS:	P339W5-P339W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotiyn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	binot+iyn
        GLOSS:	daughter/girl/daughters/girls+two

 INPUT STRING:	صحابي
     IS_TRANS:	SHAby
        INDEX:	P339W5
      OFFSETS:	16-21
       TOKENS:	P339W6-P339W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SuHAbiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	SuHAb+iy
        GLOSS:	owner/originator/owners/originators/friend/companion/friends/companions+my

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P339W6
      OFFSETS:	22-24
       TOKENS:	P339W8-P339W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	CONJ
          VOC:	yA
        GLOSS:	Or/if not/unless/except if/except when/but not/rather than/not even

 INPUT STRING:	بنتي
     IS_TRANS:	bnty
        INDEX:	P339W7
      OFFSETS:	25-29
       TOKENS:	P339W9-P339W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	binot+iy
        GLOSS:	daughter/girl/daughters/girls+my

 INPUT STRING:	قريبين
     IS_TRANS:	qrybyn
        INDEX:	P339W8
      OFFSETS:	30-36
       TOKENS:	P339W11-P339W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quray~ib_1]
   UNSPLITVOC:	(quray~ibiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	quray~ib+iyn
        GLOSS:	close+[pl.]

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P339W9
      OFFSETS:	37-43
       TOKENS:	P339W12-P339W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[pl.]

 INPUT STRING:	الليفيها
     IS_TRANS:	AllyfyhA
        INDEX:	P339W10
      OFFSETS:	44-52
       TOKENS:	P339W13-P339W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AllyfyhA)
          POS:	NO_FUNC
          VOC:	AllyfyhA
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P339W11
      OFFSETS:	53-55
       TOKENS:	P339W14-P339W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	بيني
     IS_TRANS:	byny
        INDEX:	P339W12
      OFFSETS:	56-60
       TOKENS:	P339W15-P339W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	biyn+iy
        GLOSS:	among/between+my

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P339W13
      OFFSETS:	61-64
       TOKENS:	P339W17-P339W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(wimA)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+mA
        GLOSS:	and+that/if/unless/whether/as long as/as soon as

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P339W14
      OFFSETS:	65-68
       TOKENS:	P339W19-P339W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	among/between

 INPUT STRING:	نورا
     IS_TRANS:	nwrA
        INDEX:	P339W15
      OFFSETS:	69-73
       TOKENS:	P339W20-P339W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwrA_1]
   UNSPLITVOC:	(nuwrA)
          POS:	NOUN_PROP
          VOC:	nuwrA
        GLOSS:	Noura

 INPUT STRING:	قالوا
     IS_TRANS:	qAlwA
        INDEX:	P339W16
      OFFSETS:	74-79
       TOKENS:	P339W21-P339W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAl+uwA
        GLOSS:	said/say/be said/(for example)+they

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P339W17
      OFFSETS:	80-82
       TOKENS:	P339W22-P339W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/for+I/me

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P339W18
      OFFSETS:	83-86
       TOKENS:	P339W24-P339W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P339W19
      OFFSETS:	87-89
       TOKENS:	P339W25-P339W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P339W20
      OFFSETS:	90-92
       TOKENS:	P339W26-P339W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P339W21
      OFFSETS:	93-96
       TOKENS:	P339W27-P339W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	التهييس
     IS_TRANS:	Althyys
        INDEX:	P339W22
      OFFSETS:	97-104
       TOKENS:	P339W28-P339W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tahoyiys_1]
   UNSPLITVOC:	(Altahoyiys)
          POS:	DET+NOUN
          VOC:	Al+tahoyiys
        GLOSS:	the+joking

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P339W23
      OFFSETS:	105-107
       TOKENS:	P339W29-P339W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P339W24
      OFFSETS:	108-110
       TOKENS:	P339W30-P339W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P339W25
      OFFSETS:	111-115
       TOKENS:	P339W31-P339W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Mohamed/Mohammed/Muhammad

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P339W26
      OFFSETS:	116-119
       TOKENS:	P339W32-P339W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	توطير
     IS_TRANS:	twTyr
        INDEX:	P339W27
      OFFSETS:	120-125
       TOKENS:	P339W33-P339W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twTyr)
          POS:	FOREIGN
          VOC:	twTyr
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P339W28
      OFFSETS:	125-126
       TOKENS:	P339W34-P339W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P339W29
      OFFSETS:	127-129
       TOKENS:	P339W35-P339W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P339W30
      OFFSETS:	130-133
       TOKENS:	P339W36-P339W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	ونفيسة
     IS_TRANS:	wnfysp
        INDEX:	P339W31
      OFFSETS:	134-140
       TOKENS:	P339W37-P339W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nifiysap_1]
   UNSPLITVOC:	(winifiysap)
          POS:	CONJ+NOUN_PROP+NSUFF_FEM_SG
          VOC:	wi+nifiys+ap
        GLOSS:	and+Nifisa+[fem.sg.]

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P339W32
      OFFSETS:	141-145
       TOKENS:	P339W39-P339W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P339W33
      OFFSETS:	146-150
       TOKENS:	P339W40-P339W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wAl~A)
          POS:	CONJ
          VOC:	wAl~A
        GLOSS:	or

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P339W34
      OFFSETS:	151-154
       TOKENS:	P339W41-P339W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P339W35
      OFFSETS:	154-155
       TOKENS:	P339W42-P339W42
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	أرد
     IS_TRANS:	>rd
        INDEX:	P340W1
      OFFSETS:	0-3
       TOKENS:	P340W1-P340W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(Aarud~)
          POS:	IV1S+IV
          VOC:	Aa+rud~
        GLOSS:	I+answer/reply/return/be returned/be given back

 INPUT STRING:	أقول
