 INPUT STRING:	اي
        INDEX:	P57W7
      OFFSETS:	34-38
       TOKENS:	P57W9-P57W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(yijiy)
          POS:	IV3MS+IV
          VOC:	yi+giy
        GLOSS:	he/it+come

 INPUT STRING:	يتصور
     IS_TRANS:	ytSwr
        INDEX:	P57W8
      OFFSETS:	39-44
       TOKENS:	P57W10-P57W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoSaw~ar_1]
   UNSPLITVOC:	(yitoSaw~ar)
          POS:	IV3MS+IV
          VOC:	yi+toSaw~ar
        GLOSS:	he/it+be photographed/be filmed/imagine

 INPUT STRING:	معايا
     IS_TRANS:	mEAyA
        INDEX:	P57W9
      OFFSETS:	45-50
       TOKENS:	P57W11-P57W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maEa+iy
        GLOSS:	with+my

 INPUT STRING:	اهلا
     IS_TRANS:	AhlA
        INDEX:	P57W10
      OFFSETS:	51-55
       TOKENS:	P57W13-P57W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aholAF_1]
   UNSPLITVOC:	(>aholAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>ahol+AF
        GLOSS:	welcome+[acc.indef.]

 INPUT STRING:	وسهلا
     IS_TRANS:	wshlA
        INDEX:	P57W11
      OFFSETS:	57-62
       TOKENS:	P57W14-P57W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saholAF_1]
   UNSPLITVOC:	(wisaholAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+sahol+AF
        GLOSS:	and+Gloss:TBA+[acc.indef.]

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P58W1
      OFFSETS:	0-4
       TOKENS:	P58W1-P58W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	أبتديه
     IS_TRANS:	>btdyh
        INDEX:	P58W2
      OFFSETS:	5-11
       TOKENS:	P58W2-P58W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotadA_1]
   UNSPLITVOC:	(Aabotidiyuh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	Aa+botidiy+uh
        GLOSS:	I+start/undertake/enact/prescribe/begin tart/appear/seem/make a start+it/him

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P58W3
      OFFSETS:	12-13
       TOKENS:	P58W4-P58W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5)
          POS:	NOUN_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P58W4
      OFFSETS:	14-16
       TOKENS:	P58W5-P58W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P58W5
      OFFSETS:	17-20
       TOKENS:	P58W6-P58W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P58W6
      OFFSETS:	21-25
       TOKENS:	P58W7-P58W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	والفرح
     IS_TRANS:	wAlfrH
        INDEX:	P59W1
      OFFSETS:	0-6
       TOKENS:	P59W1-P59W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroH_1]
   UNSPLITVOC:	(wiAlfaroH)
          POS:	SUB_CONJ+DET+NOUN
          VOC:	wi+Al+faroH
        GLOSS:	while+the+festivity

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P59W2
      OFFSETS:	7-11
       TOKENS:	P59W3-P59W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves/soul/souls+his/its

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P59W3
      OFFSETS:	12-16
       TOKENS:	P59W5-P59W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be/was/were

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P59W4
      OFFSETS:	17-19
       TOKENS:	P59W6-P59W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	7
     IS_TRANS:	7
        INDEX:	P59W5
      OFFSETS:	20-21
       TOKENS:	P59W7-P59W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(7)
          POS:	NOUN_NUM
          VOC:	7
        GLOSS:	7

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P59W6
      OFFSETS:	22-25
       TOKENS:	P59W8-P59W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P59W7
      OFFSETS:	26-28
       TOKENS:	P59W9-P59W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P59W8
      OFFSETS:	29-32
       TOKENS:	P59W10-P59W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P59W9
      OFFSETS:	33-37
       TOKENS:	P59W11-P59W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يوه
     IS_TRANS:	ywh
        INDEX:	P60W1
      OFFSETS:	0-3
       TOKENS:	P60W1-P60W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwh_1]
   UNSPLITVOC:	(yuwh)
          POS:	INTERJ
          VOC:	yuwh
        GLOSS:	Used when somebody is fed up.

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P60W2
      OFFSETS:	4-6
       TOKENS:	P60W2-P60W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بنتي
     IS_TRANS:	bnty
        INDEX:	P60W3
      OFFSETS:	7-11
       TOKENS:	P60W3-P60W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	binot+iy
        GLOSS:	daughter/girl/daughters/girls+my

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P60W4
      OFFSETS:	12-14
       TOKENS:	P60W5-P60W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P60W5
      OFFSETS:	15-18
       TOKENS:	P60W6-P60W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	قولي
     IS_TRANS:	qwly
        INDEX:	P60W6
      OFFSETS:	19-23
       TOKENS:	P60W7-P60W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	quwl+iy
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P60W7
      OFFSETS:	24-26
       TOKENS:	P60W8-P60W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+gloss

 INPUT STRING:	العصر
     IS_TRANS:	AlESr
        INDEX:	P60W8
      OFFSETS:	27-32
       TOKENS:	P60W10-P60W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSor_1]
   UNSPLITVOC:	(AlEaSor)
          POS:	DET+NOUN
          VOC:	Al+EaSor
        GLOSS:	the+age/period/epoch/ages/periods/epochs/compression/squeezing

 INPUT STRING:	مناسب
     IS_TRANS:	mnAsb
        INDEX:	P60W9
      OFFSETS:	33-38
       TOKENS:	P60W11-P60W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munAsib_1]
   UNSPLITVOC:	(munAsib)
          POS:	NOUN
          VOC:	munAsib
        GLOSS:	cheap/low/insignificant/contemptible/scornful/derision/contempt/suitable

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P60W10
      OFFSETS:	39-42
       TOKENS:	P60W12-P60W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	ADV
          VOC:	Hat~aY
        GLOSS:	even/including/and/and even/so that/lest/until/up to

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P60W11
      OFFSETS:	43-45
       TOKENS:	P60W13-P60W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P60W12
      OFFSETS:	46-49
       TOKENS:	P60W14-P60W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P60W13
      OFFSETS:	50-55
       TOKENS:	P60W15-P60W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(AlnAs)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	حاتستأذن
     IS_TRANS:	HAtst>*n
        INDEX:	P60W14
      OFFSETS:	56-64
       TOKENS:	P60W16-P60W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isota>o*an_1]
   UNSPLITVOC:	(Hatisota>*in)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+sota>*in
        GLOSS:	will+it/they/she+request authorization

 INPUT STRING:	ساعة
     IS_TRANS:	sAEp
        INDEX:	P60W15
      OFFSETS:	65-69
       TOKENS:	P60W18-P60W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sAE+ap
        GLOSS:	hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P60W16
      OFFSETS:	70-72
       TOKENS:	P60W19-P60W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P60W17
      OFFSETS:	73-77
       TOKENS:	P60W20-P60W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P61W1
      OFFSETS:	0-4
       TOKENS:	P61W1-P61W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	اشطة
     IS_TRANS:	A$Tp
        INDEX:	P61W2
      OFFSETS:	5-9
       TOKENS:	P61W2-P61W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qi$oTap_1]
   UNSPLITVOC:	(qi$oTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qi$oT+ap
        GLOSS:	cream+[fem.sg.]

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P61W3
      OFFSETS:	10-13
       TOKENS:	P61W3-P61W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	seriousness/earnestness/very/much+[acc.indef.]

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P62W1
      OFFSETS:	0-3
       TOKENS:	P62W1-P62W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	good

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P62W2
      OFFSETS:	4-7
       TOKENS:	P62W2-P62W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P63W1
      OFFSETS:	0-2
       TOKENS:	P63W1-P63W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P63W2
      OFFSETS:	3-6
       TOKENS:	P63W2-P63W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P63W3
      OFFSETS:	7-11
       TOKENS:	P63W3-P63W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P63W4
      OFFSETS:	12-16
       TOKENS:	P63W4-P63W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P63W5
      OFFSETS:	17-20
       TOKENS:	P63W5-P63W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P63W6
      OFFSETS:	21-25
       TOKENS:	P63W6-P63W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine (arts)

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P63W7
      OFFSETS:	26-27
       TOKENS:	P63W7-P63W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P63W8
      OFFSETS:	28-32
       TOKENS:	P63W8-P63W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nafos+iy
        GLOSS:	same/self/selves/soul/souls+my

 INPUT STRING:	اشوفك
     IS_TRANS:	A$wfk
        INDEX:	P63W9
      OFFSETS:	33-38
       TOKENS:	P63W10-P63W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwfik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+$uwf+ik
        GLOSS:	I+look+you

 INPUT STRING:	بالفستان
     IS_TRANS:	bAlfstAn
        INDEX:	P63W10
      OFFSETS:	39-47
       TOKENS:	P63W12-P63W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fusotAn_1]
   UNSPLITVOC:	(biAlfusotAn)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+fusotAn
        GLOSS:	with/by+the+dress/gown/dresses/gowns

 INPUT STRING:	الأبيض
     IS_TRANS:	Al>byD
        INDEX:	P63W11
      OFFSETS:	48-54
       TOKENS:	P63W14-P63W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboyaD_1]
   UNSPLITVOC:	(Al>aboyaD)
          POS:	DET+ADJ
          VOC:	Al+>aboyaD
        GLOSS:	the+white

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P63W12
      OFFSETS:	55-57
       TOKENS:	P63W15-P63W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P63W13
      OFFSETS:	58-64
       TOKENS:	P63W16-P63W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P64W1
      OFFSETS:	0-4
       TOKENS:	P64W1-P64W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يخليكي
     IS_TRANS:	yxlyky
        INDEX:	P64W2
      OFFSETS:	5-11
       TOKENS:	P64W3-P64W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yixal~iykiy)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+xal~iy+ik
        GLOSS:	he/it+release/evacuate/allow/be released/be evacuated/be allowed+you

 INPUT STRING:	عقبالك
     IS_TRANS:	EqbAlk
        INDEX:	P65W1
      OFFSETS:	0-6
       TOKENS:	P65W1-P65W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EuqobAl_1]
   UNSPLITVOC:	(EuqobAlik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	EuqobAl+ik
        GLOSS:	Following/consequence+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P65W2
      OFFSETS:	7-9
       TOKENS:	P65W3-P65W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P65W3
      OFFSETS:	10-16
       TOKENS:	P65W4-P65W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P66W1
      OFFSETS:	0-4
       TOKENS:	P66W1-P66W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يخليكي
     IS_TRANS:	yxlyky
        INDEX:	P66W2
      OFFSETS:	5-11
       TOKENS:	P66W3-P66W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yixal~iykiy)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+xal~iy+ik
        GLOSS:	he/it+release/evacuate/allow/be released/be evacuated/be allowed+you

 INPUT STRING:	مرسي
     IS_TRANS:	mrsy
        INDEX:	P66W3
      OFFSETS:	12-16
       TOKENS:	P66W5-P66W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mrsy)
          POS:	FOREIGN
          VOC:	mrsy
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P66W4
      OFFSETS:	17-18
       TOKENS:	P66W6-P66W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
