 INPUT STRING:	نف
     IS_TRANS:	knt
        INDEX:	P41W4
      OFFSETS:	10-13
       TOKENS:	P41W4-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	وعدك
     IS_TRANS:	wEdk
        INDEX:	P41W5
      OFFSETS:	14-18
       TOKENS:	P41W5-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAEid_1]
   UNSPLITVOC:	(wAEodak)
          POS:	ADJ.VN+POSS_PRON_2MS
          VOC:	wAEod+ak
        GLOSS:	promising+your

 INPUT STRING:	افسحك
     IS_TRANS:	AfsHk
        INDEX:	P41W6
      OFFSETS:	19-24
       TOKENS:	P41W7-P41W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fas~aH_1]
   UNSPLITVOC:	(Aafas~aHik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+fas~aH+ik
        GLOSS:	I+broaden/widen+you

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P41W7
      OFFSETS:	25-27
       TOKENS:	P41W9-P41W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P41W8
      OFFSETS:	28-30
       TOKENS:	P41W10-P41W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	اجازه
     IS_TRANS:	AjAzh
        INDEX:	P41W9
      OFFSETS:	31-36
       TOKENS:	P41W11-P41W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajAzap_1]
   UNSPLITVOC:	(>ajAzap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>ajAz+ap
        GLOSS:	furlough/permit/holiday/leave/certificate/degree/forgiveness/pardon+[fem.sg.]

 INPUT STRING:	فاضي
     IS_TRANS:	fADy
        INDEX:	P41W10
      OFFSETS:	37-41
       TOKENS:	P41W12-P41W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faD~aY_1]
   UNSPLITVOC:	(faD~iy)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	faD~+iy
        GLOSS:	empty/evacuate+you

 INPUT STRING:	نفسك
     IS_TRANS:	nfsk
        INDEX:	P41W11
      OFFSETS:	42-46
       TOKENS:	P41W13-P41W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafas_1]
   UNSPLITVOC:	(nafasik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	nafas+ik
        GLOSS:	breath/puff/breaths/puffs+your

 INPUT STRING:	تفسحني
     IS_TRANS:	tfsHny
        INDEX:	P42W1
      OFFSETS:	0-6
       TOKENS:	P42W1-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fas~aH_1]
   UNSPLITVOC:	(tifas~aHniy)
          POS:	IV2MS+IV+IVSUFF_DO:1S
          VOC:	ti+fas~aH+niy
        GLOSS:	you+broaden/widen+me

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P42W2
      OFFSETS:	7-8
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P42W3
      OFFSETS:	9-10
       TOKENS:	P42W4-P42W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	hahahaha
     IS_TRANS:	hahahaha
        INDEX:	P42W4
      OFFSETS:	11-19
       TOKENS:	P42W5-P42W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(hahahaha)
          POS:	TRANSLIT_ERR
          VOC:	hahahaha
        GLOSS:	hahahaha

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P42W5
      OFFSETS:	20-23
       TOKENS:	P42W6-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiyn_1]
   UNSPLITVOC:	(fiyn)
          POS:	INTERROG_ADV
          VOC:	fiyn
        GLOSS:	where

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P42W6
      OFFSETS:	24-27
       TOKENS:	P42W7-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P43W1
      OFFSETS:	0-3
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	دايما
     IS_TRANS:	dAymA
        INDEX:	P43W2
      OFFSETS:	4-9
       TOKENS:	P43W2-P43W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dAyim_1]
   UNSPLITVOC:	(dAyomAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	dAyom+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	فاديلك
     IS_TRANS:	fAdylk
        INDEX:	P43W3
      OFFSETS:	10-16
       TOKENS:	P43W3-P43W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAdiy_1]
   UNSPLITVOC:	(fAdiy_lak)
          POS:	ADJ+PREP+PRON_2MS
          VOC:	fAdiy+li+ak
        GLOSS:	empty+for/to+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P43W4
      OFFSETS:	17-19
       TOKENS:	P43W6-P43W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	اندرو
     IS_TRANS:	Andrw
        INDEX:	P43W5
      OFFSETS:	20-25
       TOKENS:	P43W7-P43W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aanodruw_1]
   UNSPLITVOC:	(Anodruw)
          POS:	NOUN_PROP
          VOC:	Anodruw
        GLOSS:	Andrew

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P43W6
      OFFSETS:	26-27
       TOKENS:	P43W8-P43W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P43W7
      OFFSETS:	28-29
       TOKENS:	P43W9-P43W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	مالكيش
     IS_TRANS:	mAlky$
        INDEX:	P44W1
      OFFSETS:	0-6
       TOKENS:	P44W1-P44W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAlky$)
          POS:	NO_FUNC
          VOC:	mAlky$
        GLOSS:	nogloss

 INPUT STRING:	دعوه
     IS_TRANS:	dEwh
        INDEX:	P44W2
      OFFSETS:	7-11
       TOKENS:	P44W2-P44W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(daEowap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	daEow+ap
        GLOSS:	call/invitation/supplication/calls/invitations/supplications/(Islamic) missionary work/propaganda+[fem.sg.]

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P44W3
      OFFSETS:	12-15
       TOKENS:	P44W3-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P44W4
      OFFSETS:	16-17
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P44W5
      OFFSETS:	18-19
       TOKENS:	P44W5-P44W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P45W1
      OFFSETS:	0-4
       TOKENS:	P45W1-P45W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P45W2
      OFFSETS:	5-7
       TOKENS:	P45W2-P45W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	اندرو
     IS_TRANS:	Andrw
        INDEX:	P45W3
      OFFSETS:	8-13
       TOKENS:	P45W3-P45W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aanodruw_1]
   UNSPLITVOC:	(Anodruw)
          POS:	NOUN_PROP
          VOC:	Anodruw
        GLOSS:	Andrew

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P45W4
      OFFSETS:	14-15
       TOKENS:	P45W4-P45W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(w)
          POS:	FOREIGN
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	وال
     IS_TRANS:	wAl
        INDEX:	P45W5
      OFFSETS:	16-19
       TOKENS:	P45W5-P45W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wAl)
          POS:	FOREIGN
          VOC:	wAl
        GLOSS:	nogloss

 INPUT STRING:	سي
     IS_TRANS:	sy
        INDEX:	P45W6
      OFFSETS:	20-22
       TOKENS:	P45W6-P45W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sy)
          POS:	FOREIGN
          VOC:	sy
        GLOSS:	nogloss

 INPUT STRING:	هاهاها
     IS_TRANS:	hAhAhA
        INDEX:	P45W7
      OFFSETS:	23-29
       TOKENS:	P45W7-P45W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hAhAhA)
          POS:	INTERJ
          VOC:	hAhAhA
        GLOSS:	laughing

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P46W1
      OFFSETS:	0-4
       TOKENS:	P46W1-P46W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P46W2
      OFFSETS:	5-7
       TOKENS:	P46W2-P46W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aay~_2]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حته
     IS_TRANS:	Hth
        INDEX:	P46W3
      OFFSETS:	8-11
       TOKENS:	P46W3-P46W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hit~ap_1]
   UNSPLITVOC:	(Hit~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	Hit~+ap
        GLOSS:	morsel/piece/morsels/pieces/small piece/part/hair/hairs+[fem.sg.]

 INPUT STRING:	هانروحه
     IS_TRANS:	hAnrwHh
        INDEX:	P46W4
      OFFSETS:	12-19
       TOKENS:	P46W4-P46W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(hanuruwHuh)
          POS:	FUT_PART+IV1P+IV+IVSUFF_DO:3MS
          VOC:	ha+nu+ruwH+uh
        GLOSS:	will+we+begin/go+it/him

 INPUT STRING:	يمنى
     IS_TRANS:	ymnY
        INDEX:	P46W5
      OFFSETS:	20-24
       TOKENS:	P46W7-P46W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yumonaY_1]
   UNSPLITVOC:	(yumonaY)
          POS:	NOUN_PROP
          VOC:	yumonaY
        GLOSS:	Youmna/Yumna

 INPUT STRING:	هتقول
     IS_TRANS:	htqwl
        INDEX:	P46W6
      OFFSETS:	25-30
       TOKENS:	P46W8-P46W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(hatoquwl)
          POS:	FUT_PART+IV3FS+IV
          VOC:	ha+ti+quwl
        GLOSS:	will+it/they/she+said/say/be said/(for example)

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P46W7
      OFFSETS:	31-33
       TOKENS:	P46W10-P46W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P46W8
      OFFSETS:	34-37
       TOKENS:	P46W11-P46W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P46W9
      OFFSETS:	38-42
       TOKENS:	P46W12-P46W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all/entire/every/whole+its/their/her

 INPUT STRING:	تعرفني
     IS_TRANS:	tErfny
        INDEX:	P46W10
      OFFSETS:	43-49
       TOKENS:	P46W14-P46W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(tiEorafniy)
          POS:	IV3FS+IV+IVSUFF_DO:1S
          VOC:	ti+Eoraf+niy
        GLOSS:	it/they/she+know+me

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P46W11
      OFFSETS:	50-52
       TOKENS:	P46W16-P46W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	what/ok

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P47W1
      OFFSETS:	0-4
       TOKENS:	P47W1-P47W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P47W2
      OFFSETS:	5-10
       TOKENS:	P47W2-P47W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	wi+AiHonA
        GLOSS:	while+we

 INPUT STRING:	رايحين
     IS_TRANS:	rAyHyn
        INDEX:	P47W3
      OFFSETS:	11-17
       TOKENS:	P47W4-P47W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAyiH_1]
   UNSPLITVOC:	(rAyoHiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	rAyoH+iyn
        GLOSS:	going+[pl.]

 INPUT STRING:	شرم
     IS_TRANS:	$rm
        INDEX:	P47W4
      OFFSETS:	18-21
       TOKENS:	P47W5-P47W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arom_1]
   UNSPLITVOC:	($arom)
          POS:	NOUN_PROP
          VOC:	$arom
        GLOSS:	Sharm

 INPUT STRING:	قالتلي
     IS_TRANS:	qAltly
        INDEX:	P47W5
      OFFSETS:	22-28
       TOKENS:	P47W6-P47W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlit_liy)
          POS:	PV+PVSUFF_SUBJ:3FS+PREP+PRON_1S
          VOC:	qAl+it+li+iy
        GLOSS:	said/say/be said/(for example)+it/they/she+to/for+me

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P47W6
      OFFSETS:	29-32
       TOKENS:	P47W9-P47W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P47W7
      OFFSETS:	33-35
       TOKENS:	P47W10-P47W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P47W8
      OFFSETS:	36-39
       TOKENS:	P47W11-P47W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P47W9
      OFFSETS:	40-44
       TOKENS:	P47W12-P47W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all/entire/every/whole+its/their/her

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P47W10
      OFFSETS:	45-46
       TOKENS:	P47W14-P47W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شرم
     IS_TRANS:	$rm
        INDEX:	P47W11
      OFFSETS:	47-50
       TOKENS:	P47W15-P47W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arom_1]
   UNSPLITVOC:	($arom)
          POS:	NOUN_PROP
          VOC:	$arom
        GLOSS:	Sharm

 INPUT STRING:	عارفاني
     IS_TRANS:	EArfAny
        INDEX:	P47W12
      OFFSETS:	51-58
       TOKENS:	P47W16-P47W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofAniy)
          POS:	ADJ+NSUFF_FEM_SG+PRON_1S
          VOC:	EArof+ap+niy
        GLOSS:	knowing/having knowledge of+[fem.sg.]+I

 INPUT STRING:	هتشوفي
     IS_TRANS:	ht$wfy
        INDEX:	P47W13
      OFFSETS:	59-65
       TOKENS:	P47W18-P47W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(hato$uwfiy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ha+ti+$uwf+iy
        GLOSS:	will+you+look+you

 INPUT STRING:	هاهاها
     IS_TRANS:	hAhAhA
        INDEX:	P48W1
      OFFSETS:	0-6
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hAhAhA)
          POS:	INTERJ
          VOC:	hAhAhA
        GLOSS:	laughing

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P48W2
      OFFSETS:	7-10
       TOKENS:	P48W2-P48W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness/very/much

 INPUT STRING:	فظيعة
     IS_TRANS:	fZyEp
        INDEX:	P48W3
      OFFSETS:	11-16
       TOKENS:	P48W4-P48W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faZiyE_1]
   UNSPLITVOC:	(faZiyEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	faZiyE+ap
        GLOSS:	hideous/heinous+[fem.sg.]

 INPUT STRING:	هنحطها
     IS_TRANS:	hnHThA
        INDEX:	P49W1
      OFFSETS:	0-6
       TOKENS:	P49W1-P49W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HuT~_1]
   UNSPLITVOC:	(hanoHuT~hA)
          POS:	FUT_PART+IV1P+IV+IVSUFF_DO:3FS
          VOC:	ha+nu+HuT~+hA
        GLOSS:	will+we+descend/land/set down/lower+it/them/her

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P49W2
      OFFSETS:	7-8
       TOKENS:	P49W4-P49W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شنطه
     IS_TRANS:	$nTh
        INDEX:	P49W3
      OFFSETS:	9-13
       TOKENS:	P49W5-P49W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$anoTap_1]
   UNSPLITVOC:	($anoTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$anoT+ap
        GLOSS:	suitcase/suitcases+[fem.sg.]

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P49W4
      OFFSETS:	14-16
       TOKENS:	P49W6-P49W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	عربيه
     IS_TRANS:	Erbyh
        INDEX:	P49W5
      OFFSETS:	17-22
       TOKENS:	P49W7-P49W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(Earabiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Earabiy~+ap
        GLOSS:	Arabic (language)+[fem.sg.]

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P50W1
      OFFSETS:	0-2
       TOKENS:	P50W1-P50W1
