 INPUT STRING:	قمتي
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaz~_2]
   UNSPLITVOC:	(bitiEiz~iniy)
          POS:	PROG_PART+IV2MS+IV+IVSUFF_DO:1S
          VOC:	bi+ti+Eiz~+niy
        GLOSS:	[present-tense]+you+be strong/be dear+me

 INPUT STRING:	
     IS_TRANS:	&#xe104;&#xe104;
        INDEX:	P50W29
      OFFSETS:	114-116
       TOKENS:	P50W35-P50W35
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe104;&#xe104;)
          POS:	NO_FUNC
          VOC:	??
        GLOSS:	nogloss

 INPUT STRING:	ً
     IS_TRANS:	F
        INDEX:	P50W30
      OFFSETS:	117-118
       TOKENS:	P50W36-P50W36
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(F)
          POS:	NO_FUNC
          VOC:	F
        GLOSS:	nogloss

