 INPUT STRING:	اهلا
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P19W19
      OFFSETS:	85-88
       TOKENS:	P19W22-P19W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	بوسي
     IS_TRANS:	bwsy
        INDEX:	P19W20
      OFFSETS:	89-93
       TOKENS:	P19W23-P19W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAs_1]
   UNSPLITVOC:	(buwsiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buws+iy
        GLOSS:	kiss+you

 INPUT STRING:	ايدك
     IS_TRANS:	Aydk
        INDEX:	P19W21
      OFFSETS:	94-98
       TOKENS:	P19W24-P19W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iydik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	<iyd+ik
        GLOSS:	hands/hand+your

 INPUT STRING:	وش
     IS_TRANS:	w$
        INDEX:	P19W22
      OFFSETS:	99-101
       TOKENS:	P19W26-P19W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi$~_1]
   UNSPLITVOC:	(wi$~)
          POS:	NOUN
          VOC:	wi$~
        GLOSS:	faces

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P19W23
      OFFSETS:	102-103
       TOKENS:	P19W27-P19W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	ضهر
     IS_TRANS:	Dhr
        INDEX:	P19W24
      OFFSETS:	104-107
       TOKENS:	P19W28-P19W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dahor_1]
   UNSPLITVOC:	(Dahor)
          POS:	NOUN
          VOC:	Dahor
        GLOSS:	summit/summits

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P19W25
      OFFSETS:	108-111
       TOKENS:	P19W29-P19W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بقي
     IS_TRANS:	bqy
        INDEX:	P19W26
      OFFSETS:	112-115
       TOKENS:	P19W30-P19W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	معنديش
     IS_TRANS:	mEndy$
        INDEX:	P19W27
      OFFSETS:	116-122
       TOKENS:	P19W31-P19W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(maEanodiy$)
          POS:	NEG_PART+NOUN+POSS_PRON_1S+NEG_PART
          VOC:	ma+Eanod+iy+$
        GLOSS:	not+at/have/possession/with+my+not

 INPUT STRING:	عادي
     IS_TRANS:	EAdy
        INDEX:	P19W28
      OFFSETS:	123-127
       TOKENS:	P19W35-P19W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	ADJ
          VOC:	EAdiy
        GLOSS:	aggressive/hostile

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P19W29
      OFFSETS:	128-132
       TOKENS:	P19W36-P19W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADV
          VOC:	xAliS
        GLOSS:	forever/never/pure/clear/sincere/very/absolutely

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P20W1
      OFFSETS:	0-2
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P20W2
      OFFSETS:	3-5
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	مكرونا
     IS_TRANS:	mkrwnA
        INDEX:	P20W3
      OFFSETS:	6-12
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[makaruwnap_1]
   UNSPLITVOC:	(makaruwnaA)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	makaruwn+ap
        GLOSS:	pasta+[fem.sg.]

 INPUT STRING:	كفايه
     IS_TRANS:	kfAyh
        INDEX:	P20W4
      OFFSETS:	13-18
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kifAyap_1]
   UNSPLITVOC:	(kifAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kifAy+ap
        GLOSS:	sufficiency/competence+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W5
      OFFSETS:	19-20
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	مليش
     IS_TRANS:	mly$
        INDEX:	P20W6
      OFFSETS:	21-25
       TOKENS:	P20W6-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(maliy$)
          POS:	NEG_PART+PREP+PRON_1S+NEG_PART
          VOC:	ma+li+iy+$
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+gloss+gloss+gloss

 INPUT STRING:	مزاج
     IS_TRANS:	mzAj
        INDEX:	P20W7
      OFFSETS:	26-30
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(mazAj)
          POS:	NOUN
          VOC:	mazAj
        GLOSS:	mixture/mixtures/temperament/mood/feeling/moods/temperaments/mod

 INPUT STRING:	اعمل
     IS_TRANS:	AEml
        INDEX:	P20W8
      OFFSETS:	31-35
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+function/make/act/do

 INPUT STRING:	سلطة
     IS_TRANS:	slTp
        INDEX:	P20W9
      OFFSETS:	36-40
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[salaTap_1]
   UNSPLITVOC:	(salaTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	salaT+ap
        GLOSS:	salad+[fem.sg.]

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P20W10
      OFFSETS:	41-45
       TOKENS:	P20W13-P20W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W11
      OFFSETS:	46-47
       TOKENS:	P20W14-P20W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P20W12
      OFFSETS:	48-49
       TOKENS:	P20W15-P20W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	بعدين
     IS_TRANS:	bEdyn
        INDEX:	P20W13
      OFFSETS:	50-55
       TOKENS:	P20W16-P20W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(baEodayn)
          POS:	NOUN
          VOC:	baEodayn
        GLOSS:	then

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P20W14
      OFFSETS:	56-59
       TOKENS:	P20W17-P20W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	REL_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W15
      OFFSETS:	60-61
       TOKENS:	P20W18-P20W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	امك
     IS_TRANS:	Amk
        INDEX:	P20W16
      OFFSETS:	62-65
       TOKENS:	P20W19-P20W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~ik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	>um~+ik
        GLOSS:	mother/maternal/mothers+your

 INPUT STRING:	3amlalkom
     IS_TRANS:	3amlalkom
        INDEX:	P20W17
      OFFSETS:	66-75
       TOKENS:	P20W21-P20W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3amlalkom)
          POS:	TRANSLIT_ERR
          VOC:	3amlalkom
        GLOSS:	3amlalkom

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P20W18
      OFFSETS:	76-79
       TOKENS:	P20W22-P20W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	انهارده
     IS_TRANS:	AnhArdh
        INDEX:	P20W19
      OFFSETS:	80-87
       TOKENS:	P20W23-P20W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ain~ahArodap_1]
   UNSPLITVOC:	(Ain~ahArodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Ain~ahArod+ap
        GLOSS:	today+[fem.sg.]

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P20W20
      OFFSETS:	88-89
       TOKENS:	P20W24-P20W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	هيا
     IS_TRANS:	hyA
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	قالت
     IS_TRANS:	qAlt
        INDEX:	P21W2
      OFFSETS:	4-8
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qAl+it
        GLOSS:	said/say/be said/(for example)+it/they/she

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P21W3
      OFFSETS:	9-13
       TOKENS:	P21W3-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<in~hA]
   UNSPLITVOC:	(<in~hA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it

 INPUT STRING:	هتعمل
     IS_TRANS:	htEml
        INDEX:	P21W4
      OFFSETS:	14-19
       TOKENS:	P21W5-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HatiEomil)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+Eomil
        GLOSS:	will+it/they/she+function/make/act/do

 INPUT STRING:	فاصوليا
     IS_TRANS:	fASwlyA
        INDEX:	P21W5
      OFFSETS:	20-27
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fASuwlyA_1]
   UNSPLITVOC:	(fASuwlyA)
          POS:	NOUN
          VOC:	fASuwlyA
        GLOSS:	kidney bean

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P21W6
      OFFSETS:	28-30
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bi)
          POS:	PREP
          VOC:	bi
        GLOSS:	with/by

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P21W7
      OFFSETS:	31-33
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	رز
     IS_TRANS:	rz
        INDEX:	P21W8
      OFFSETS:	34-36
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruz~ap_1]
   UNSPLITVOC:	(ruz~)
          POS:	NOUN
          VOC:	ruz~
        GLOSS:	a grain of rice

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P21W9
      OFFSETS:	37-38
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P21W10
      OFFSETS:	39-41
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P21W11
      OFFSETS:	42-44
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	حجد
     IS_TRANS:	Hjd
        INDEX:	P21W12
      OFFSETS:	45-48
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Hjd)
          POS:	TYPO
          VOC:	Hjd
        GLOSS:	nogloss

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P21W13
      OFFSETS:	49-51
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P22W1
      OFFSETS:	0-3
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	NOUN
          VOC:	Tay~ib
        GLOSS:	pleasant/good things

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P22W2
      OFFSETS:	4-8
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P22W3
      OFFSETS:	9-13
       TOKENS:	P22W3-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	Eanod+ik
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	اكل
     IS_TRANS:	Akl
        INDEX:	P22W4
      OFFSETS:	14-17
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akol_1]
   UNSPLITVOC:	(>akol)
          POS:	NOUN
          VOC:	>akol
        GLOSS:	eating/consumption/food/meal

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P22W5
      OFFSETS:	18-21
       TOKENS:	P22W6-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw~a)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix+gloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W6
      OFFSETS:	22-23
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P22W7
      OFFSETS:	24-27
       TOKENS:	P22W9-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P22W8
      OFFSETS:	28-30
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	no/not

 INPUT STRING:	عاجبك
     IS_TRANS:	EAjbk
        INDEX:	P22W9
      OFFSETS:	31-36
       TOKENS:	P22W12-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjib_1]
   UNSPLITVOC:	(EAjibik)
          POS:	ADJ+PRON_2FS
          VOC:	EAjib+ik
        GLOSS:	pleasing/arousing admiration/liking/admiring+you

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P22W10
      OFFSETS:	37-39
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P22W11
      OFFSETS:	40-44
       TOKENS:	P22W15-P22W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	تانيه
     IS_TRANS:	tAnyh
        INDEX:	P22W12
      OFFSETS:	45-50
       TOKENS:	P22W16-P22W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAnoy+ap
        GLOSS:	second/next/II/secondly/thani/other/another/the last+[fem.sg.]

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P22W13
      OFFSETS:	51-54
       TOKENS:	P22W17-P22W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W14
      OFFSETS:	55-56
       TOKENS:	P22W18-P22W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	منا
     IS_TRANS:	mnA
        INDEX:	P23W1
      OFFSETS:	0-3
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mnA)
          POS:	NO_FUNC
          VOC:	mnA
        GLOSS:	nogloss

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P23W2
      OFFSETS:	4-9
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	مانتي
     IS_TRANS:	mAnty
        INDEX:	P23W3
      OFFSETS:	10-15
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAnty)
          POS:	NO_FUNC
          VOC:	mAnty
        GLOSS:	nogloss

 INPUT STRING:	بتموتي
     IS_TRANS:	btmwty
        INDEX:	P23W4
      OFFSETS:	16-22
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(bitimuwtiy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+muwt+iy
        GLOSS:	[present-tense]+you+die/pass away+you

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P23W5
      OFFSETS:	23-25
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P23W6
      OFFSETS:	26-28
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	بميه
     IS_TRANS:	bmyh
        INDEX:	P23W7
      OFFSETS:	29-33
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAmyap_1]
   UNSPLITVOC:	(bAmyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bAmy+ap
        GLOSS:	okra+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W8
      OFFSETS:	34-35
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
